,0,1,2,3
0,Susan Bysiewicz,I have a lot of sympathy with the ideas and frustration of the Occupy movement. I absolutely agree with the sense that Wall Street has brought an economic calamity to the middle class and that no one has been held accountable.,"[ideas, frustration, agree]",sympathy
1,Martin O'Malley,"Justice must be done in investigating the tragic death of Mr. Freddie Gray. His family deserves our deepest sympathy and respect for their loss, and our admiration for their courage in calling us, as a city, to act as our better selves.","[family, death, respect]",sympathy
2,Agatha Christie,"I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow, but through it all I still know quite certainly that just to be alive is a grand thing.","[know, miserable, sometimes]",sympathy
3,Joyce Carol Oates,I was brought up to be sympathetic toward others.,"[others, sympathetic, up]",sympathy
4,Pierre Corneille,One often calms one's grief by recounting it.,"[grief, often, recounting]",sympathy
5,William R. Alger,"A crowd always thinks with its sympathy, never with its reason.","[reason, always, never]",sympathy
6,James Martineau,Grief is only the memory of widowed affections.,"[memory, grief, only]",sympathy
7,William James,The community stagnates without the impulse of the individual. The impulse dies away without the sympathy of the community.,"[community, individual, away]",sympathy
8,Edward Gibbon,Our sympathy is cold to the relation of distant misery.,"[cold, misery, distant]",sympathy
9,Irving Babbitt,The humanitarian lays stress almost solely upon breadth of knowledge and sympathy.,"[knowledge, stress]",sympathy
10,Lionel Blue,"I learnt pity, sympathy, and what it was like to be at the other end of the stick. Such lessons can't be learnt in lecture halls.","[end, pity, like]",sympathy
11,Eamon de Valera,Since this war began our sympathy has gone out to all the suffering people who have been dragged into it. Further hundreds of millions have become involved since I spoke at Limerick fortnight ago.,"[war, suffering, people]",sympathy
12,Ben Elton,Sympathy for victims is always counter-balanced by an equal and opposite feeling of resentment towards them.,"[equal, feeling, resentment]",sympathy
13,F. H. Bradley,"It is by a wise economy of nature that those who suffer without change, and whom no one can help, become uninteresting. Yet so it may happen that those who need sympathy the most often attract it the least.","[change, nature, wise]",sympathy
14,John Irving,"I take people very seriously. People are all I take seriously, in fact. Therefore, I have nothing but sympathy for how people behave - and nothing but laughter to console them with.","[laughter, people, nothing]",sympathy
15,A. N. Wilson,"I very much dislike the intolerance and moralism of many Christians, and feel more sympathy with Honest Doubters than with them.","[intolerance, feel, honest]",sympathy
16,George Saunders,"I tend to foster drama via bleakness. If I want the reader to feel sympathy for a character, I cleave the character in half, on his birthday. And then it starts raining. And he's made of sugar.","[birthday, character, want]",sympathy
17,Hugh Jackman,I like the Rolling Stones for karaoke. 'Sympathy For The Devil' is a great one.,"[great, devil, rolling stones]",sympathy
18,Anson Mount,I don't care about sympathy. I care about playing a character who's understandable and clear.,"[character, care, clear]",sympathy
19,James Nachtwey,"If I'm feeling outraged, grief, disbelief, frustration, sympathy, that gets channeled through me and into my pictures and hopefully transmitted to the viewer.","[grief, me, frustration]",sympathy
20,Bob Feller,Sympathy is something that shouldn't be bestowed upon the Yankees. Apparently it angers them.,"[something, bestowed, yankees]",sympathy
21,Francis Herbert Hedge,Sympathy with nature is part of a good person's religion.,"[nature, good, religion]",sympathy
22,John Hall,More negatives write than call. It's a cheap shot for me to go on the air with the critical letters or E-mail I get because the reaction of the listeners is always an instantaneous expression of sympathy for me and contempt for the poor critic.,"[me, poor, always]",sympathy
23,Irving Babbitt,The true humanist maintains a just balance between sympathy and selection.,"[balance, true, just]",sympathy
24,Henry Cabot Lodge,Recognition of belligerency as an expression of sympathy is all very well.,"[recognition, expression]",sympathy
25,Brownie McGhee,"My guitar was loud as hell, and I had no sympathy for anybody else.","[hell, guitar, loud]",sympathy
