,0,1,2,3
0,Brad Henry,"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.","[love, hope, learning]",teacher
1,Malala Yousafzai,"Let us remember: One book, one pen, one child, and one teacher can change the world.","[inspirational, change]",teacher
2,Stevie Wonder,"Mama was my greatest teacher, a teacher of compassion, love and fearlessness. If love is sweet as a flower, then my mother is that sweet flower of love.","[love, flower, mother]",teacher
3,Solomon Ortiz,"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.","[life, success, education]",teacher
4,Albert Einstein,It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,"[art, knowledge, joy]",teacher
5,A. P. J. Abdul Kalam,"If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.","[family, father, mother]",teacher
6,Bill Gates,Success is a lousy teacher. It seduces smart people into thinking they can't lose.,"[success, smart, thinking]",teacher
7,Aristotle,The one exclusive sign of thorough knowledge is the power of teaching.,"[knowledge, power, teaching]",teacher
8,Beau Bridges,My father was my teacher. But most importantly he was a great dad.,"[father, dad, great]",teacher
9,Carl Jung,"One looks back with appreciation to the brilliant teachers, but with gratitude to those who touched our human feelings. The curriculum is so much necessary raw material, but warmth is the vital element for the growing plant and for the soul of the child.","[gratitude, appreciation]",teacher
10,William Arthur Ward,The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,"[good, great, good teacher]",teacher
11,Julius Caesar,Experience is the teacher of all things.,"[experience, things]",teacher
12,Swami Vivekananda,"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul.","[spiritual, soul, grow]",teacher
13,A. P. J. Abdul Kalam,"Teaching is a very noble profession that shapes the character, caliber, and future of an individual. If the people remember me as a good teacher, that will be the biggest honour for me.","[future, good, character]",teacher
14,William Wordsworth,"Come forth into the light of things, let nature be your teacher.","[nature, light, things]",teacher
15,Ricky Martin,"Heroes represent the best of ourselves, respecting that we are human beings. A hero can be anyone from Gandhi to your classroom teacher, anyone who can show courage when faced with a problem. A hero is someone who is willing to help others in his or her best capacity.","[best, courage, hero]",teacher
16,Joyce Meyer,Teachers can change lives with just the right mix of chalk and challenges.,"[change, challenges, right]",teacher
17,Bill Gates,"Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.","[technology, together]",teacher
18,Henry Adams,A teacher affects eternity; he can never tell where his influence stops.,"[influence, eternity, never]",teacher
19,Shah Rukh Khan,"Success is not a good teacher, failure makes you humble.","[success, failure, good]",teacher
20,Vernon Law,"Experience is a hard teacher because she gives the test first, the lesson afterward.","[experience, she, lesson]",teacher
21,John Steinbeck,I have come to believe that a great teacher is a great artist and that there are as few as there are any other great artists. Teaching might even be the greatest of the arts since the medium is the human mind and spirit.,"[great, greatest, mind]",teacher
22,Charles Kuralt,Good teachers know how to bring out the best in students.,"[best, good, know]",teacher
23,Lily Tomlin,I like a teacher who gives you something to take home to think about besides homework.,"[home, homework, think]",teacher
24,John Henrik Clarke,"A good teacher, like a good entertainer first must hold his audience's attention, then he can teach his lesson.","[good, good teacher]",teacher
25,Dalai Lama,"In the practice of tolerance, one's enemy is the best teacher.","[best, enemy, tolerance]",teacher
