,0,1,2,3
0,"Tobias Jesso, Jr.","I was chubby in high school. I used to go to my information technology class, and I would type really fast to get the lesson done quick because the teacher had a little acoustic guitar, and there was a girl I had a crush on in the class. I would take the guitar and pretend to be some great singer-songwriter, serenade her with joke songs.","[technology, great, school]",teacher
1,Genzebe Dibaba,"I used to win at school, and some teacher said to me, 'Why don't you take up running like your sisters?'","[school, me, win]",teacher
2,Laurene Powell Jobs,"Teachers have told us across the country that what's severely outdated is the teacher at the front of the classroom as the font of knowledge, because as we know, access to knowledge and information is now ubiquitous. So instead, teachers want to help students learn how to think so that they can be lifelong learners.","[knowledge, help, information]",teacher
3,Ellen Ochoa,"A hallmark of the Latino community is to help one another, if students are interested in a way to give back and help their communities, becoming a teacher is probably one of the very best ways of doing that.","[best, community, help]",teacher
4,Andrea Barrett,"By junior high, I was a horrible student. But during my sophomore year of high school, I did have a fabulous English teacher, and I would go to school just for her class and then skip out afterwards. That's actually when I started writing, although I didn't think of it then as something I might someday do.","[school, writing, year]",teacher
5,Andrea Barrett,"Margot Livesey, my dear friend, reads all the drafts of what I write, and I read hers. We have an intense working relationship. I've been really lucky to know her. She's a great reader and teacher as well as an astonishingly good writer.","[relationship, good, great]",teacher
6,Erin Gruwell,"I am a teacher born and bred, and I believe in the advocacy of teachers. It's a calling. We want our students to feel impassioned and empowered.","[believe, i am, want]",teacher
7,James Carville,We should not run away from religious teachings. We should run to them.,"[away, religious, should]",teacher
8,Doris Roberts,Everybody's a teacher if you listen.,"[listen, you, everybody]",teacher
9,David Price,The impending teacher shortage is the most critical education issue we will face in the next decade.,"[education, face, will]",teacher
10,John Warner,"As they work hard for our children, America's teachers often reach into their own pockets to make sure they have the best classroom supplies. I feel strongly that the federal government should help make up for their personal financial burden.","[best, work, children]",teacher
11,Gilbert Highet,A teacher must believe in the value and interest of his subject as a doctor believes in health.,"[health, believe, doctor]",teacher
