,0,1,2,3
0,Albert Einstein,It has become appallingly obvious that our technology has exceeded our humanity.,"[humanity, obvious, become]",technology
1,Steven Spielberg,"Technology can be our best friend, and technology can also be the biggest party pooper of our lives. It interrupts our own story, interrupts our ability to have a thought or a daydream, to imagine something wonderful, because we're too busy bridging the walk from the cafeteria back to the office on the cell phone.","[best, best friend, busy]",technology
2,Edward Teller,The science of today is the technology of tomorrow.,"[science, today, tomorrow]",technology
3,Carl Sagan,"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.","[science, society, live]",technology
4,Steve Jobs,"Technology is nothing. What's important is that you have a faith in people, that they're basically good and smart, and if you give them tools, they'll do wonderful things with them.","[faith, good, smart]",technology
5,Chris Milk,"Virtual reality is a technology that could actually allow you to connect on a real human level, soul-to-soul, regardless of where you are in the world.","[world, reality]",technology
6,Gretchen Rubin,"Turn off your email; turn off your phone; disconnect from the Internet; figure out a way to set limits so you can concentrate when you need to, and disengage when you need to. Technology is a good servant but a bad master.","[good, internet, limits]",technology
7,Ray Kurzweil,"Our technology, our machines, is part of our humanity. We created them to extend ourselves, and that is what is unique about human beings.","[humanity, unique, human]",technology
8,Henry David Thoreau,Men have become the tools of their tools.,"[men, tools, become]",technology
9,Steve Ballmer,"The number one benefit of information technology is that it empowers people to do what they want to do. It lets people be creative. It lets people be productive. It lets people learn things they didn't think they could learn before, and so in a sense it is all about potential.","[people, creative]",technology
10,Bill Gates,"Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.","[teacher, working together]",technology
11,Peter Drucker,The new information technology... Internet and e-mail... have practically eliminated the physical costs of communications.,"[computers, internet]",technology
12,Simon Mainwaring,Social media is not about the exploitation of technology but service to community.,"[social media, community]",technology
13,Bill Gates,The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,"[business, efficiency, will]",technology
14,Tim O'Reilly,What new technology does is create new opportunities to do a job that customers want done.,"[job, opportunities, want]",technology
15,George Lucas,"The technology keeps moving forward, which makes it easier for the artists to tell their stories and paint the pictures they want.","[moving forward, moving]",technology
16,B. F. Skinner,The real problem is not whether machines think but whether men do.,"[men, problem, think]",technology
17,Elbert Hubbard,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,"[work, man, men]",technology
18,Lucy Powell,"In the industrial revolution Britain led the world in advances that enabled mass production: trade exchanges, transportation, factory technology and new skills needed for the new industrialised world.","[world, revolution]",technology
19,Dave Barry,Bill Gates is a very rich man today... and do you want to know why? The answer is one word: versions.,"[today, man, rich]",technology
20,Jason Reitman,"I'm equally guilty of using technology - I Twitter, I text people, I chat. But I think there's something strangely insidious about it that it makes us think we're closer when in fact we're not seeing each other, we're not connecting.","[people, think, guilty]",technology
21,Andrew Brown,"The Internet is so big, so powerful and pointless that for some people it is a complete substitute for life.","[life, internet, people]",technology
22,Freeman Dyson,"Technology is a gift of God. After the gift of life it is perhaps the greatest of God's gifts. It is the mother of civilizations, of arts and of sciences.","[life, god, mother]",technology
23,Bill Burr,"Did you ever spell a word so bad that your spell check has absolutely no clue what you're trying to spell? What do you end up getting, you end up getting, like, a question mark. You got a million dollars of technology just looking back at you like, 'You got me, buddy. Which is pretty amazing because I have all the words.'","[end, amazing, words]",technology
24,Arthur C. Clarke,Any sufficiently advanced technology is indistinguishable from magic.,"[magic, sufficiently]",technology
25,Andrew Weil,"Technology has a shadow side. It accounts for real progress in medicine, but has also hurt it in many ways, making it more impersonal, expensive and dangerous. The false belief that a safety net of sophisticated drugs and machines stretches below us, permitting risky or lazy lifestyle choices, has undermined our spirit of self-reliance.","[progress, safety, choices]",technology
