,0,1,2,3
0,James Hansen,"With a fourth generation of nuclear power, you can have a technology that will burn more than 99 percent of the energy in the fuel. It would mean that you don't need to mine uranium for the next thousand years.","[power, generation, energy]",technology
1,Lupe Fiasco,"All the big revolutions, whether it's the Industrial Revolution, the Arab Spring, those changes happened by economic and social shifts brought about by the people's voices, and those things weren't voted for. Most of our changes today are brought about through technology, not by voting.","[today, voting, people]",technology
2,Paul Rand,"Design is a way of life, a point of view. It involves the whole complex of visual communications: talent, creative ability, manual skill, and technical knowledge. Aesthetics and economics, technology and psychology are intrinsically related to the process.","[life, knowledge, design]",technology
3,Martin Gore,"Technology is a bit of a double-edged sword. Used right, it's a wonderful tool, but unfortunately, it makes it easier for a lot of mediocre people to get really crappy ideas out.","[people, ideas, sword]",technology
4,Risa Lavizzo-Mourey,"Electronic medical records are, in a lot of ways, I think the aspect of technology that is going to revolutionize the way we deliver care. And it's not just that we will be able to collect information, it's that everyone involved in the healthcare enterprise will be able to use that information more effectively.","[medical, information, care]",technology
5,Shreya Ghoshal,"I'm not a gadget freak, so to say. I own an iPhone, which I love, and would sorely love to upgrade to MacBook Air from my current MacBook Pro. But what gets me going is the technology behind the gadgets, new websites, new apps. And I'm way too much into social media - FB, Twitter and Instagram are always open on my phone.","[love, social media, media]",technology
6,Gabe Newell,The easiest way to stop piracy is not by putting antipiracy technology to work. It's by giving those people a service that's better than what they're receiving from the pirates.,"[work, giving, service]",technology
7,Steve Aoki,I like looking at a future where we're expanding our creativity and brightening our lives. I believe that eventually we'll get to a point where we'll be able to live indefinitely through our technology.,"[future, creativity, believe]",technology
8,Tansy Rayner Roberts,"One of the most interesting things about science fiction and fantasy is the way that the genres can offer different perspectives on matters to do with the body, the mind, medical technology, and the way we live our lives.","[science, mind, medical]",technology
9,Steve Jobs,The reason that Apple is able to create products like the iPad is because we've always tried to be at the intersection of technology and the liberal arts.,"[reason, create, apple]",technology
10,Kenneth Langone,"You want to close the income inequality gap in part? Give us better educated kids out of high school. Give us kids that can challenge and succeed in the challenge with technology. You give us those kinds of kids, and watch the needle move.","[school, challenge]",technology
11,Satya Nadella,Information technology is at the core of how you do your business and how your business model itself evolves.,"[business, information]",technology
12,Lennart Nilsson,"I have the instruments, ideas, technology, computer techniques. We try to create or see something, which has not been known before - just to discover something together. This is always my dream.","[together, ideas, dream]",technology
13,Serge Haroche,Most technological advances in our life now come from serendipitous discoveries. That is a contraction of rocket technology and computer technology and atomic clock technology.,"[life, clock, technological]",technology
14,Alfred North Whitehead,Civilization advances by extending the number of important operations which we can perform without thinking of them.,"[thinking, important]",technology
15,Antoine de Saint-Exupery,The machine does not isolate man from the great problems of nature but plunges him more deeply into them.,"[nature, great, man]",technology
16,Clifford Stoll,The Internet is a telephone system that's gotten uppity.,"[internet, telephone, system]",technology
17,Fred Allen,Television is a medium because anything well done is rare.,"[well done, television, done]",technology
18,Mary Pickford,Adding sound to movies would be like putting lipstick on the Venus de Milo.,"[movies, lipstick, sound]",technology
19,Meg Whitman,"What's sort of interesting about the whole public relations disaster that is the Net, in some ways, is that the fundamentals are really good.","[good, interesting]",technology
20,Mitchell Kapor,Getting information off the Internet is like taking a drink from a fire hydrant.,"[fire, internet, information]",technology
21,Jesse James Garrett,"Building technical systems involves a lot of hard work and specialized knowledge: languages and protocols, coding and debugging, testing and refactoring.","[work, hard work, knowledge]",technology
22,Stewart Brand,"Once a new technology rolls over you, if you're not part of the steamroller, you're part of the road.","[road, you, new]",technology
23,Nick Bostrom,"Traits acquired during one's lifetime - muscles built up in the gym, for example - cannot be passed on to the next generation. Now with technology, as it happens, we might indeed be able to transfer some of our acquired traits on to our selected offspring by genetic engineering.","[generation, engineering, gym]",technology
24,Daniel Ek,"I had two passions growing up - one was music, one was technology. I tried to play in a band for a while, but I was never talented enough to make it. And I started companies. One day came along and I decided to combine the two - and there was Spotify.","[music, day, growing up]",technology
25,Michael Dell,"Our business is about technology, yes. But it's also about operations and customer relationships.","[business, customer]",technology
