,0,1,2,3
0,Aristotle,Good habits formed at youth make all the difference.,"[good, youth, habits]",teen
1,Friedrich Schiller,Keep true to the dreams of your youth.,"[dreams, youth, true]",teen
2,e. e. cummings,It takes courage to grow up and become who you really are.,"[courage, grow, you]",teen
3,Arnold H. Glasow,Telling a teenager the facts of life is like giving a fish a bath.,"[life, giving, fish]",teen
4,Henry Wadsworth Longfellow,Youth comes but once in a lifetime.,"[youth, lifetime, once]",teen
5,Samuel Ullman,"Youth is not a time of life; it is a state of mind; it is not a matter of rosy cheeks, red lips and supple knees; it is a matter of the will, quality of the imagination, a vigor of the emotions; it is the freshness of the deep springs of life.","[life, time, deep]",teen
6,Virginia Satir,"Adolescents are not monsters. They are just people trying to learn how to make it among the adults in the world, who are probably not so sure themselves.","[world, people, trying]",teen
7,Elizabeth Gillies,I love being a teen because you don't have all the responsibilities of an adult yet.,"[love, you, adult]",teen
8,Johnny Depp,As a teenager I was so insecure. I was the type of guy that never fitted in because he never dared to choose. I was convinced I had absolutely no talent at all. For nothing. And that thought took away all my ambition too.,"[ambition, thought, talent]",teen
9,Rick Springfield,I was a happy kid up until I hit the teen years.,"[happy, kid, years]",teen
10,David Elkind,"Friendships in childhood are usually a matter of chance, whereas in adolescence they are most often a matter of choice.","[childhood, chance, choice]",teen
11,Louise J. Kaplan,Adolescence is the conjugator of childhood and adulthood.,"[childhood, adolescence]",teen
12,David Wilkerson,"The Teen Challenge ministry was born out of those humble early days of ministry. It now includes over 500 drug and alcohol rehab centers around the world, even in Muslim countries. These include homes for girls and women addicts and alcoholics, all which are reaching many.","[women, humble, challenge]",teen
13,Shelley Hennig,"People ask me, 'How's 'Teen Wolf?' and I tell them it's literally the best job I've ever had. It's hard. Everybody wants to be a series regular. It's something that a lot of actors would kill to have. That being said, it's very demanding of you, in so many different ways.","[best, job, people]",teen
14,Meg Cabot,I actually love writing for teens best. I had such an awful time in my own teen years - I love having the chance to relive them through my fiction.,"[love, best, time]",teen
15,Blake McIver Ewing,"When I was 14, I came very close to becoming a gay teen suicide 'statistic,' but I then turned to music, my piano, my loved ones, and discovered that it does in fact get better.","[music, gay, suicide]",teen
16,Adelaide Kane,"I didn't know what was going to happen with 'Teen Wolf.' I was only scheduled to do four episodes for them, but they kept me on, and I was like, 'Sweet! I'm still employed! That's awesome!' And then, they let me know that they were considering having me for the second half of the season.","[season, me, sweet]",teen
17,Dave Barry,"Your modern teenager is not about to listen to advice from an old person, defined as a person who remembers when there was no Velcro.","[advice, listen, modern]",teen
18,Marian Wright Edelman,"To all those mothers and fathers who are struggling with teen-agers, I say, just be patient: even though it looks like you can't do anything right for a number of years, parents become popular again when kids reach 20.","[parents, mothers, you]",teen
19,Marilyn vos Savant,Teens think listening to music helps them concentrate. It doesn't. It relieves them of the boredom that concentration on homework induces.,"[music, listening, homework]",teen
20,Bryan White,"We never really grow up, we only learn how to act in public.","[learn, grow, grow up]",teen
21,Thomas Friedman,"When I was growing up, my parents told me, 'Finish your dinner. People in China and India are starving.' I tell my daughters, 'Finish your homework. People in India and China are starving for your job.'","[parents, job, finish]",teen
22,Gus Van Sant,"The area of teenage life is not necessarily rarefied; we've all gone through that period. It's not as rarefied as a western or a space adventure or a gangster film, but it has its own dynamic.","[life, adventure, space]",teen
23,Sophia Bush,Being a teenager is an amazing time and a hard time. It's when you make your best friends - I have girls who will never leave my heart and I still talk to. You get the best and the worst as a teen. You have the best friendships and the worst heartbreaks.,"[best, time, heart]",teen
24,Barry Gibb,Everybody is a teenage idol.,"[everybody, idol, teenage]",teen
25,G. Stanley Hall,"Adolescence is a new birth, for the higher and more completely human traits are now born.","[adolescence, birth, born]",teen
