,0,1,2,3
0,Matthew Vaughn,"I think there's a time in your life where you don't feel like you fit in. I think everyone has that when you're a teenager, especially, and especially in the society we live in.","[life, time, society]",teen
1,Caitlin Flanagan,Female adolescence is - universally - an emotionally and psychologically intense period.,"[adolescence, intense, female]",teen
2,Queen Latifah,"I've been giving back since I was a teen, handing out turkeys at Thanksgiving and handing out toys at toys drives for Christmas. It's very important to give back as a youth. It's as simple as helping an old lady across the street or giving up your seat on the bus for someone who is pregnant.","[christmas, thankful, giving]",teen
3,Sarah Michelle Gellar,Being a teen idol is what I've waited for my whole life.,"[life, being, idol]",teen
4,Jane Fonda,"It's about time we make the well-being of our young people more important than ideology and politics. As a country, we benefit from investing in their future by investing in teen pregnancy prevention.","[time, future, politics]",teen
5,Rian Johnson,Teen movies often have an unspoken underlying premise in which high school is seen as less serious than the adult world. But when your head is encased in that microcosm it's the most serious time of your life.,"[life, time, school]",teen
6,Linda Hunt,"When I was growing up, particularly during puberty in my teen years, I was so miserable because I elicited so much teasing and meanness from my teenage cohorts.","[growing up, miserable]",teen
7,Lauren Oliver,I was a troubled teen and I was constantly looking for someone to throw me a rope. Those ropes are connections. They allow us to see that life exists beyond the little worlds we are currently a part of.,"[life, looking, me]",teen
8,Kirsten Dunst,"It's important to me that I don't get trapped in the whole teen scene, because I feel that you can get lost in those kind of movies, and they aren't really about the actors; they're about the selling of the concept, and how much money it makes.","[money, me, lost]",teen
9,Kid Rock,"There's always a Justin Bieber. Ever since I've been around, there's always been one of him. You know, you can trace it back from how old you are and the boy bands that came along then and the teen sensations and whatnot. And, you know, good for them. There's a few of them that make it out and a few of them that don't.","[good, know, you]",teen
10,Laurie Halse Anderson,"If I can write a book that will help the world make a little more sense to a teen, then that's why I was put on the planet.","[book, help, world]",teen
11,Chandler Riggs,"I'm a teen boy, so I like seeing blood and guts. I know it's fake, but I'm having fun.","[having fun, fun, fake]",teen
12,Carol Burnett,Adolescence is just one big walking pimple.,"[walking, adolescence, big]",teen
13,Dale Earnhardt,"Growing up, I've enjoyed hunting with my father.","[father, growing up, hunting]",teen
14,Jules Feiffer,Maturity is only a short break in adolescence.,"[maturity, short, adolescence]",teen
15,Dean Kamen,You have teenagers thinking they're going to make millions as NBA stars when that's not realistic for even 1 percent of them. Becoming a scientist or engineer is.,"[stars, thinking, you]",teen
16,Robert Cormier,"I have always had a sense that we are all pretty much alone in life, particularly in adolescence.","[life, alone, adolescence]",teen
17,Louise J. Kaplan,"Children, even infants, are capable of sympathy. But only after adolescence are we capable of compassion.","[children, sympathy]",teen
18,Madisen Beaty,"Most people, almost everyone knows of a teen mom. Teen pregnancy rates are growing, and we need to bring awareness to that.","[mom, people, awareness]",teen
19,Brendan Fehr,Just because you have teenagers in a movie doesn't make it a teen movie.,"[you, just because, teenagers]",teen
20,Tayari Jones,"I take mentoring very seriously and I am on the board of an organization called Girls Write Now, where we match teen girls and writing mentors because it changes their lives.","[i am, writing, organization]",teen
21,Julie Burchill,"As a precocious teen I dreamed of being Graham Greene. Well, as it turned out, I never wrote a great novel, sadly, and I never converted to Catholicism, happily, but I did do one thing he did. That is, in middle age I moved to a seaside town and got into a right barney with the local powers-that-be.","[age, great, right]",teen
22,Sara Zarr,"I wouldn't say I'm stuck in my adolescence, but I think, like a lot of people, I carry my teen years with me. I feel really in touch with those feelings, and how intense and complicated life seems in those years.","[life, people, me]",teen
23,J. K. Simmons,I never listened to the Grateful Dead as a teen; the only exposure I got was what came through the walls when my sister was listening to them.,"[sister, grateful, listening]",teen
24,Paula Garces,"The first time I got pregnant, I was a young girl - I was 17 years old. Although I knew right away that I wanted to keep my child, being a pregnant teen was an extremely scary experience for me. Luckily, my family and friends were very supportive and were there for me every step of the way.","[family, time, experience]",teen
25,Anna Kendrick,"I think I'm trouble-adjacent. I remember hearing once that good girls don't get caught. I think that's sort of a lot of what my teen years were like. I skirted the stuff that other kids were doing because the idea of actually getting in trouble was not appealing to me, but I still wanted to have adventures.","[good, me, doing]",teen
