,0,1,2,3
0,Tecumseh,"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.","[life, strength, food]",thankful
1,John Wooden,"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.","[friendship, art, good]",thankful
2,Jake Owen,"I was given such a great gift. It's a miracle that never stops amazing me and reminding me to give thanks, every day. Having a wife and daughter gives me a lot more purpose. I was much more selfish before, but now I think about what kind of role model I'll be. I just want to be a better man.","[great, daughter, gift]",thankful
3,Melody Beattie,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. It turns denial into acceptance, chaos to order, confusion to clarity. It can turn a meal into a feast, a house into a home, a stranger into a friend.","[life, home, gratitude]",thankful
4,Melody Beattie,"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.","[peace, gratitude, today]",thankful
5,Meister Eckhart,"If the only prayer you ever say in your entire life is thank you, it will be enough.","[life, prayer, thank you]",thankful
6,Travis Barker,"Thank you for life, and all the little ups and downs that make it worth living.","[life, thank you, living]",thankful
7,Lex Luger,"Many times, the decisions we make affect and hurt your closest friends and family the most. I have a lot of regrets in that regard. But God has forgiven me, which I am very thankful for. It has enabled me to forgive myself and move forward one day at a time.","[family, time, forgiveness]",thankful
8,Ralph Marston,"Make it a habit to tell people thank you. To express your appreciation, sincerely and without the expectation of anything in return. Truly appreciate those around you, and you'll soon find many others around you. Truly appreciate life, and you'll find that you have more of it.","[life, appreciation]",thankful
9,Dalai Lama,"When you practice gratefulness, there is a sense of respect toward others.","[respect, practice, you]",thankful
10,Harvey Mackay,"None of us got to where we are alone. Whether the assistance we received was obvious or subtle, acknowledging someone's help is a big part of understanding the importance of saying thank you.","[alone, thank you, help]",thankful
11,Oprah Winfrey,"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.","[end, thanksgiving]",thankful
12,William Arthur Ward,Feeling gratitude and not expressing it is like wrapping a present and not giving it.,"[gratitude, giving, present]",thankful
13,Srikumar Rao,"I believe that if you don't derive a deep sense of purpose from what you do, if you don't come radiantly alive several times a day, if you don't feel deeply grateful at the tremendous good fortune that has been bestowed on you, then you are wasting your life. And life is too short to waste.","[life, good, deep]",thankful
14,Alice Walker,"'Thank you' is the best prayer that anyone could say. I say that one a lot. Thank you expresses extreme gratitude, humility, understanding.","[best, gratitude, prayer]",thankful
15,Gabby Douglas,I give all the glory to God. It's kind of a win-win situation. The glory goes up to Him and the blessings fall down on me.,"[god, blessings, me]",thankful
16,Albert Schweitzer,At times our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lighted the flame within us.,"[gratitude, light, deep]",thankful
17,Albert Schweitzer,"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.","[life, friendship, time]",thankful
18,Zig Ziglar,"Be grateful for what you have and stop complaining - it bores everybody else, does you no good, and doesn't solve any problems.","[good, grateful, problems]",thankful
19,Joel Osteen,"I don't think you should spend your life praying for things, but I do believe you should thank God for what He's given you... but I think the scripture teaches us that we can pray for our dreams, pray for the big things... he's not a small God; this God is incredible.","[life, dreams, god]",thankful
20,Elayne Boosler,"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'","[peace, history, community]",thankful
21,Henry Ward Beecher,Gratitude is the fairest blossom which springs from the soul.,"[gratitude, soul, blossom]",thankful
22,Alphonse Karr,Some people are always grumbling because roses have thorns; I am thankful that thorns have roses.,"[i am, people, roses]",thankful
23,Sarah Ban Breathnach,"Whatever we are waiting for - peace of mind, contentment, grace, the inner awareness of simple abundance - it will surely come to us, but only when we are ready to receive it with an open and grateful heart.","[peace, heart, mind]",thankful
24,Dietrich Bonhoeffer,Gratitude changes the pangs of memory into a tranquil joy.,"[gratitude, joy, memory]",thankful
25,Tim Tebow,"I'm just thankful for everything, all the blessings in my life, trying to stay that way. I think that's the best way to start your day and finish your day. It keeps everything in perspective.","[life, best, day]",thankful
