,0,1,2,3
0,Algernon Charles Swinburne,"From too much love of living, From hope and fear set free, We thank with brief thanksgiving Whatever gods may be That no life lives for ever; That dead men rise up never; That even the weariest river Winds somewhere safe to sea.","[life, love, hope]",thankful
1,William Bennett,Sometimes we need to remind ourselves that thankfulness is indeed a virtue.,"[sometimes, virtue, need]",thankful
2,Rod Stewart,"Well, there's not a day goes by when I don't get up and say thank you to somebody.","[day, thank you, you]",thankful
3,Ronaldinho,"I am what I am thanks to my mother, my father, my brother, my sister... because they have given me everything. The education I have is thanks to them.","[education, father, mother]",thankful
4,Brennan Manning,"By and large, the gospel of grace is neither proclaimed, understood, nor lived.","[grace, lived, gospel]",thankful
5,Jim Lovell,"Be thankful for problems. If they were less difficult, someone with less ability might have your job.","[job, problems, be thankful]",thankful
6,Ann Voskamp,"The brave who focus on all things good and all things beautiful and all things true, even in the small, who give thanks for it and discover joy even in the here and now, they are the change agents who bring fullest Light to all the world.","[change, light, joy]",thankful
7,Reba McEntire,"I have a lot to be thankful for. I am healthy, happy and I am loved.","[happy, i am, healthy]",thankful
8,Michael Newdow,A federal judge did as he was supposed to do and upheld the Constitution. We should be thankful that we have judiciary that will do that.,"[constitution, judge]",thankful
9,Daniel Bruhl,"Well, my first languages are German and Spanish because I was brought up by a Spanish mother and a German father, so I always spoke both languages at home. I'm very thankful that I was brought up in a bilingual house.","[home, father, mother]",thankful
10,Dante Gabriel Rossetti,The worst moment for the atheist is when he is really thankful and has nobody to thank.,"[moment, nobody, worst]",thankful
11,Antoine de Saint-Exupery,"Charity never humiliated him who profited from it, nor ever bound him by the chains of gratitude, since it was not to him but to God that the gift was made.","[gratitude, god, gift]",thankful
12,Elie Wiesel,"When a person doesn't have gratitude, something is missing in his or her humanity.","[gratitude, humanity, missing]",thankful
13,Gotthold Ephraim Lessing,A single grateful thought toward heaven is the most perfect prayer.,"[prayer, grateful, thought]",thankful
14,Henry Ward Beecher,"A proud man is seldom a grateful man, for he never thinks he gets as much as he deserves.","[grateful, man, proud]",thankful
15,Josh Billings,Most people repent their sins by thanking God they ain't so wicked as their neighbors.,"[god, people, neighbors]",thankful
16,Thomas Fuller,Unseasonable kindness gets no thanks.,"[kindness, thanks, gets]",thankful
17,Stephen Colbert,"Thankfully, dreams can change. If we'd all stuck with our first dream, the world would be overrun with cowboys and princesses.","[change, dreams, world]",thankful
18,Tim Tebow,I'm thankful for the ability to share my faith in a lot of different places. It's something that I take as a responsibility and an obligation to handle as best as I can.,"[best, faith, responsibility]",thankful
19,Thomas Secker,He enjoys much who is thankful for little.,"[much, little, he]",thankful
20,Nia Long,"I know for me like I have a reputation of being kind of tough, I have a reputation of also being the girl next door, kind of sweet but I have standards and my thing is, it's me on that screen and I don't have control over everything in this and I'm grateful and thankful.","[grateful, door, girl]",thankful
21,Bernhard Schlink,I can't say I'm thankful about being German because I sometimes experience it as a huge burden. But it is an integral part of me and I wouldn't want to escape it. I have accepted it.,"[experience, me, want]",thankful
22,Daniel Bruhl,"My first languages are German and Spanish because I was brought up by a Spanish mother and a German father, so I always spoke both languages at home. I'm very thankful that I was brought up in a bilingual house.","[home, father, mother]",thankful
23,Laura Marano,"I'm so thankful for my family and friends - they're really supportive. Everyone I work with on 'Austin & Ally;' the cast and crew are like my family now. We have so much fun, and I'm so happy they're in my life!","[life, family, work]",thankful
24,Monica Johnson,"There is a lot to celebrate about that little Babe who was laid in a manger. Christians celebrate Christmas because they are thankful for the promise of salvation, which was delivered in human flesh and named Jesus.","[christmas, celebrate, jesus]",thankful
25,Chantal Sutherland,"I'm just so lucky - my office is a racetrack. That is something I'm very thankful for. It's exciting, and it's challenging, and there are a lot of emotions and nerves that come with it, but right there before the gates open, before that minute and a half or two minutes of the race, it just hits you.","[lucky, emotions, you]",thankful
