,0,1,2,3
0,Joseph B. Wirthlin,"Some memories are unforgettable, remaining ever vivid and heartwarming!","[memories, unforgettable]",thanksgiving
1,William Arthur Ward,"Gratitude can transform common days into thanksgivings, turn routine jobs into joy, and change ordinary opportunities into blessings.","[change, gratitude, joy]",thanksgiving
2,Oprah Winfrey,"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.","[thankful, end, be thankful]",thanksgiving
3,Willard Scott,Thanksgiving just gets me all warm and tingly and all kinds of wonderful inside.,"[me, warm, inside]",thanksgiving
4,Evan Davis,"Black Friday is not another bad hair day in Wall Street. It's the term used by American retailers to describe the day after the Thanksgiving Holiday, seen as the semi-official start of Christmas shopping season.","[christmas, holiday, day]",thanksgiving
5,Henry Van Dyke,Gratitude is the inward feeling of kindness received. Thankfulness is the natural impulse to express that feeling. Thanksgiving is the following of that impulse.,"[kindness, gratitude, feeling]",thanksgiving
6,Lawrence Welk,Over and over I marvel at the blessings of my life: Each year has grown better than the last.,"[life, blessings, year]",thanksgiving
7,Al Green,I'm thankful for every moment.,"[thankful, moment, every]",thanksgiving
8,Joe Nichols,"I love Halloween, trick or treating and decorating the house. And I love Thanksgiving, because of the football and the fall weather. And of course, I love Christmas - that's my favorite of all!","[christmas, love, football]",thanksgiving
9,Henry David Thoreau,I am grateful for what I am and have. My thanksgiving is perpetual.,"[grateful, i am, perpetual]",thanksgiving
10,Jim Davis,"Vegetables are a must on a diet. I suggest carrot cake, zucchini bread, and pumpkin pie.","[cake, diet, vegetables]",thanksgiving
11,Sandra Lee,"Christmas is more stressful with present buying and making sure everyone gets included, but Thanksgiving is really not that. I don't ever really get stressed out about the food.","[christmas, food, present]",thanksgiving
12,Henry Ward Beecher,"Pride slays thanksgiving, but a humble mind is the soil out of which thanks naturally grow. A proud man is seldom a grateful man, for he never thinks he gets as much as he deserves.","[mind, humble, grateful]",thanksgiving
13,Joyce Giraud,"Thanksgiving is one of my favorite days of the year because it reminds us to give thanks and to count our blessings. Suddenly, so many things become so little when we realize how blessed and lucky we are.","[blessed, blessings, year]",thanksgiving
14,Bob Schieffer,"The truth is the Super Bowl long ago became more than just a football game. It's part of our culture like turkey at Thanksgiving and lights at Christmas, and like those holidays beyond their meaning, a factor in our economy.","[christmas, holidays, truth]",thanksgiving
15,Bobby Jindal,"On Thanksgiving I will stop to give thanks that my family is safe and healthy, especially because I realize that, following the tragedies of this year, it is all too real a possibility that they might not have been.","[family, year, healthy]",thanksgiving
16,Douglas Conant,"My most memorable meal is every Thanksgiving. I love the food: the turkey and stuffing; the sweet potatoes and rice, which come from my mother's Southern heritage; the mashed potatoes, which come from my wife's Midwestern roots; the Campbell's green-bean casserole; and of course, pumpkin pie.","[love, food, mother]",thanksgiving
17,Phyllis Diller,My cooking is so bad my kids thought Thanksgiving was to commemorate Pearl Harbor.,"[cooking, pearl harbor]",thanksgiving
18,Joseph Auslander,"Dear Lord; we beg but one boon more: Peace in the hearts of all men living, peace in the whole world this Thanksgiving.","[peace, men, world]",thanksgiving
19,John Clayton,Thanksgiving is a season that is very much in accord with the themes and teachings of Jesus Christ.,"[season, jesus, themes]",thanksgiving
20,John Clayton,"Thanksgiving is a time when the world gets to see just how blessed and how workable the Christian system is. The emphasis is not on giving or buying, but on being thankful and expressing that appreciation to God and to one another.","[time, thankful, god]",thanksgiving
21,Mark Shriver,"I miss both of my parents terribly every day, but especially as we approach Thanksgiving. We always came together as a family for that holiday, playing capture the flag and touch football and laughing a lot.","[family, holiday, together]",thanksgiving
22,Erma Bombeck,Thanksgiving dinners take eighteen hours to prepare. They are consumed in twelve minutes. Half-times take twelve minutes. This is not coincidence.,"[prepare, hours, eighteen]",thanksgiving
23,O. Henry,There is one day that is ours. Thanksgiving Day is the one day that is purely American.,"[day, american, one day]",thanksgiving
24,W. Clement Stone,"If you are really thankful, what do you do? You share.","[thankful, you, share]",thanksgiving
25,Kevin James,"Thanksgiving, man. Not a good day to be my pants.","[good, day, man]",thanksgiving
