,0,1,2,3
0,Jennifer Granholm,"As governor, when I visited our troops in Kuwait and Iraq, I served them Thanksgiving dinner. It was a small gesture compared to their sacrifice.","[sacrifice, small, dinner]",thanksgiving
1,Lily Aldridge,"I think I'm going to give my baby her first food on Thanksgiving, make her some organic sweet potato. I'm very excited! It's going to be a big day and my husband is in charge of the turkey - he's the chef of the family!","[family, food, day]",thanksgiving
2,Nathan Myhrvold,"When I was about nine years old, I announced to my mother that I was going to cook Thanksgiving dinner. And I went to the library and got this whole pile of books. I'd love to say it all turned out great. It didn't. But, sort of, from that point on, whenever there was serious cooking at home, I was the one who did it.","[love, home, cooking]",thanksgiving
3,Leigh Lezark,"I'm vegetarian, but I love Thanksgiving dinner: faux turkey, stuffing and mashed potatoes.","[love, dinner, vegetarian]",thanksgiving
4,Robbie Robertson,"It's a bit of a sore spot, the Thanksgiving in Indian country.","[country, spot, sore]",thanksgiving
5,Hannah Simone,"It's funny, I was talking to somebody who writes for a cop show, and he was saying how they aren't allowed to acknowledge Christmas, Thanksgiving, Valentine's Day, just because it has to be able to play forever.","[christmas, funny, day]",thanksgiving
6,John Clayton,Christmas is the antithesis of Thanksgiving. Christmas is pretty much a man-made holiday.,"[christmas, holiday, pretty]",thanksgiving
7,Brie Larson,"I started acting in second grade - my first role was in the Thanksgiving play. I was the Indian chasing the turkey. All the other mom's encouraged my mom to get me into acting after that. Also, when I saw 'The Sound of Music' at Music Circus, I knew I wanted to act.","[music, mom, me]",thanksgiving
8,Marcus Samuelsson,"Being an Ethiopian-born, Swedish-raised chef, there's nothing traditional about my Thanksgiving spread.","[chef, nothing, being]",thanksgiving
9,Joan Rivers,"My mother loved entertaining, and I've followed suit, so we have big celebrations for New Year, Passover, Thanksgiving and birthdays.","[mother, year, loved]",thanksgiving
10,Gary Vaynerchuk,"As much as I love crisp, clean whites, there's always a time for rich but balanced Chardonnays with oak, especially at Thanksgiving.","[love, time, rich]",thanksgiving
11,Ruth Reichl,"I'm not a big turkey fan, but my husband loves it. Thanksgiving is his favorite meal.","[husband, favorite, big]",thanksgiving
12,Chrissy Teigen,"I would love four children because I have a very small family, so I want those big Thanksgiving dinners.","[love, family, children]",thanksgiving
13,Jill Soloway,"I always love the soapy conflicts between somebody's family of origin and their new family - 'Do I have Thanksgiving at my husband's parents' house, or at my parents' house?'","[love, family, parents]",thanksgiving
14,Michael Greger,"Berries have a lot of soluble fiber. That's why they gel up when you're making your Thanksgiving cranberry sauce, with the pectin.","[you, why, berries]",thanksgiving
15,Debi Mazar,"On the morning of Thanksgiving, I would wake up to the home smelling of all good things, wafting upstairs to my room. I would set the table with the fancy silverware and china and hope that my parents and grandmother wouldn't have the annual Thanksgiving fight about Richard Nixon.","[hope, home, morning]",thanksgiving
16,Brene Brown,"In many ways, September feels like the busiest time of the year: The kids go back to school, work piles up after the summer's dog days, and Thanksgiving is suddenly upon us.","[work, time, school]",thanksgiving
17,James Patterson,"Always expect the unexpected. Right around Thanksgiving, when the new Alex Cross will be out. It's called Four Blind Mice and it's a pretty amazing story about several murders inside the military.","[amazing, unexpected, blind]",thanksgiving
18,Tony Bennett,"I loved my mom so much because she had to work on a penny just to put food on the table... During the Depression in the United States, everybody had a tough time. And I was so hurt because she was crying that she didn't have any food for us for Thanksgiving.","[work, time, food]",thanksgiving
19,Julia Child,"What a marvelous resource soup is for the thrifty cook - it solves the ham-bone and lamb-bone problems, the everlasting Thanksgiving turkey, the extra vegetables.","[problems, soup, marvelous]",thanksgiving
20,Wylie Dufresne,I've always had fond memories of cooking Thanksgiving.,"[memories, cooking]",thanksgiving
21,Wylie Dufresne,"It wasn't the traditional cooking most people do. For me, as a young chef, Thanksgiving meant going to work in the kitchen at places like Gotham, JoJo and Jean-Georges.","[work, cooking, chef]",thanksgiving
22,Ted Allen,"Not to sound too much like Christopher Guest in 'Waiting for Guffman,' but on Thanksgiving you're putting on a show!","[waiting, you, sound]",thanksgiving
23,Adam Davidson,Holiday binge-buying has deep roots in American culture: department stores have been associating turkey gluttony with its spending equivalent since they began sponsoring Thanksgiving Day parades in the early 20th century.,"[holiday, culture, deep]",thanksgiving
24,Rosecrans Baldwin,"Thanksgiving, our eminent moral holiday, doesn't have much for children. At its heart are conversation, food, drink, and fellowship - all perks of adulthood.","[holiday, food, children]",thanksgiving
25,Hank Azaria,"The craft Emmys are kind of the kids' table at Thanksgiving. You're not really invited to the big dance. It's still really, really exciting, and the statue still counts.","[dance, you, kind]",thanksgiving
