,0,1,2,3
0,Thomas S. Monson,Christmas is the spirit of giving without a thought of getting. It is happiness because we see joy in people. It is forgetting self and finding time for others. It is discarding the meaningless and stressing the true values.,"[christmas, happiness, joy]",time
1,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[christmas, love, family]",time
2,David Cameron,Christmas gives us the opportunity to pause and reflect on the important things around us - a time when we can look back on the year that has passed and prepare for the year ahead.,"[christmas, opportunity, year]",time
3,Dale Evans,"Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.","[christmas, love, action]",time
4,Jesus Christ,"And know that I am with you always; yes, to the end of time.","[christmas, end, i am]",time
5,Calvin Coolidge,"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.","[christmas, peace, mind]",time
6,Alexander Smith,Christmas is the day that holds all time together.,"[christmas, together, day]",time
7,Ausonius,"Let us never know what old age is. Let us know the happiness time brings, not count the years.","[happiness, birthday, age]",time
8,Henry Van Dyke,A friend is what the heart needs all the time.,"[friendship, heart, friend]",time
9,Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.","[life, family, work]",time
10,Thomas A. Edison,Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,"[motivational, giving]",time
11,Steve Jobs,"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.","[life, courage, heart]",time
12,Douglas Coupland,The time you feel lonely is the time you most need to be by yourself.,"[alone, yourself, lonely]",time
13,Arnold H. Glasow,"Success is simple. Do what's right, the right way, at the right time.","[success, simple, way]",time
14,Confucius,"Our greatest glory is not in never falling, but in rising every time we fall.","[history, greatest, fall]",time
15,Warren Buffett,Someone is sitting in the shade today because someone planted a tree a long time ago.,"[inspirational, today, tree]",time
16,Leo Tolstoy,The two most powerful warriors are patience and time.,"[war, patience, powerful]",time
17,Ernie Harwell,"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure.","[adventure, moving on, sad]",time
18,Robert H. Schuller,Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,"[patience, tree, decisions]",time
19,David Allan Coe,It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time.,"[beauty, architecture]",time
20,Mark Twain,"Whenever you find yourself on the side of the majority, it is time to pause and reflect.","[business, yourself, find]",time
21,Barack Obama,Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek.,"[change, waiting, wait]",time
22,Nicole Scherzinger,"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.","[love, smile, good]",time
23,Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"[life, death, fear]",time
24,Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently.","[failure, intelligence]",time
25,Enya,"The spring, summer, is quite a hectic time for people in their lives, but then it comes to autumn, and to winter, and you can't but help think back to the year that was, and then hopefully looking forward to the year that is approaching.","[winter, autumn]",time
