,0,1,2,3
0,Harriet Tubman,"I would fight for my liberty so long as my strength lasted, and if the time came for me to go, the Lord would let them take me.","[strength, fight, me]",time
1,Sean Penn,"We've let the blade of our innocence dull over time, and it's only in innocence that you find any kind of magic, any kind of courage.","[courage, innocence, magic]",time
2,Marjane Satrapi,"I'm very open and never write what I'm going to say. Speeches bore everybody else. I have to freestyle. Every time, from one program to another, everything changes and I improvise.","[changes, say, everything]",time
3,Gordie Howe,"I helped put in a rink in Cadillac, Michigan, when my wife was very healthy. She helped them put it in and the rink is going full-bore the last time I was there.","[wife, healthy, she]",time
4,Lou Diamond Phillips,"Although a lot of pain for a little screen time; Shaving legs, waxing eyebrows, high heels, trying to put on a bra, losing weight because women's clothes are SO revealing - Ladies you have my respect.","[respect, women, pain]",time
5,Hugh Jackman,"I like to dress up in a tailored suit from time to time, and there's a tailor I go to in Naples who's fantastic. But if I told anyone his name, I'd have to kill them.","[dress, name, go]",time
6,Umberto Eco,"A book is a fragile creature, it suffers the wear of time, it fears rodents, the elements and clumsy hands. so the librarian protects the books not only against mankind but also against nature and devotes his life to this war with the forces of oblivion.","[life, nature, war]",time
7,Mencius,"Evil exists to glorify the good. Evil is negative good. It is a relative term. Evil can be transmuted into good. What is evil to one at one time, becomes good at another time to somebody else.","[good, evil, negative]",time
8,Pablo Picasso,"Never permit a dichotomy to rule your life, a dichotomy in which you hate what you do so you can have pleasure in your spare time. Look for a situation in which your work will give you as much happiness as your spare time.","[life, happiness, work]",time
9,Allen Boyd,"It is time for Congress to provide relief for tobacco farmers. Since the 1930's tobacco production has been regulated by a quota system, which required farmers to purchase quota in order to grow tobacco.","[grow, farmers, congress]",time
10,Lydia Lunch,"Because we have so much eye candy and mind candy, spending so much time trying to pay the rent, all of this conspires to keep us from thinking too hard or taking action from that. Our time is stolen. So much of our daily life is stolen.","[life, daily, mind]",time
11,Francesca Annis,"Sometimes sushi is just superb, and other times there's nothing like a great big steak. It depends where your taste buds are at the time.","[great, nothing, sometimes]",time
12,Nancy Lopez,"Do your best, one shot at a time and then move on. Remember that golf is just a game.","[best, golf, do your best]",time
13,Emma Watson,"I just try and surround myself, for the biggest proportion of time that I can, with people who make me feel normal, because constantly feeling abnormal is quite difficult.","[myself, people, me]",time
14,Jeanne Moreau,Acting deals with very delicate emotions. It is not putting up a mask. Each time an actor acts he does not hide; he exposes himself.,"[acting, emotions, actor]",time
15,T. D. Jakes,The first time I walked on a stage I knew that was what I was created to do. I knew that there was a calling and a sense of purpose in my life that gave me fulfillment and a sense of destiny.,"[life, destiny, purpose]",time
16,Zaha Hadid,I think about architecture all the time. That's the problem. But I've always been like that. I dream it sometimes.,"[architecture, problem, dream]",time
17,James Cameron,"Every time you dive, you hope you'll see something new - some new species. Sometimes the ocean gives you a gift, sometimes it doesn't.","[hope, gift, ocean]",time
18,Maya Angelou,"I think Clinton, after getting into office and into Washington, was shocked at being bludgeoned. So he spent time trying to be all things to all people - one way guaranteed not to be successful or respected in a lion's den. You can't just play around with all those big cats - you've got to take somebody on.","[cats, lion, people]",time
19,Malala Yousafzai,"When I was born, some of our relatives came to our house and told my mother, 'Don't worry, next time you will have a son.'","[mother, son, worry]",time
20,Jonathan Ive,Eight years of work can be copied in six months. It wasn't inevitable that it was going to work. A stolen design is stolen time.,"[work, design, inevitable]",time
21,Elizabeth Taylor,"It is strange that the years teach us patience; that the shorter our time, the greater our capacity for waiting.","[patience, waiting, strange]",time
22,Ray Comfort,"Each of us should think of the future. Every puff on a cigarette is another tick closer to a time bomb of terrible consequences. Christopher Hitchens didn't care about the consequences of smoking cigarettes. Tragically, he died of throat cancer in December 2011.","[december, future, smoking]",time
23,Diane Kruger,"With modeling, you pose. You want to look your best all the time. With acting, you have to be aware of the camera, but the more you show your imperfections, the better you're going to be.","[best, camera, modeling]",time
24,Ralph Marston,"When was the last time you spent a quiet moment just doing nothing - just sitting and looking at the sea, or watching the wind blowing the tree limbs, or waves rippling on a pond, a flickering candle or children playing in the park?","[children, sea, tree]",time
25,Gwen Ifill,"I'm a preacher's kid, and we were always told, Act right all the time, because someone's always watching.","[someone, watching, always]",time
