,0,1,2,3
0,Confucius,"Wherever you go, go with all your heart.","[heart, you, go]",travel
1,Matsuo Basho,"Every day is a journey, and the journey itself is home.","[home, journey, day]",travel
2,Saint Augustine,"The world is a book, and those who do not travel read only a page.","[book, world, page]",travel
3,George A. Moore,A man travels the world over in search of what he needs and returns home to find it.,"[home, man, world]",travel
4,Danny Kaye,To travel is to take a journey into yourself.,"[journey, yourself, take]",travel
5,Charles Spurgeon,A lie can travel half way around the world while the truth is putting on its shoes.,"[trust, truth, shoes]",travel
6,Lao Tzu,"A good traveler has no fixed plans, and is not intent on arriving.","[good, plans, arriving]",travel
7,T. S. Eliot,"We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.","[time, end, know]",travel
8,Buddha,It is better to travel well than to arrive.,"[better, well, arrive]",travel
9,Martin Buber,All journeys have secret destinations of which the traveler is unaware.,"[secret, unaware, which]",travel
10,John Glenn,"The most important thing we can do is inspire young minds and to advance the kind of science, math and technology education that will help youngsters take us to the next phase of space travel.","[education, technology]",travel
11,John D. Rockefeller,"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.","[motivational, success]",travel
12,Frank Borman,Exploration is really the essence of the human spirit.,"[human spirit, spirit]",travel
13,Gilbert K. Chesterton,"The traveler sees what he sees, the tourist sees what he has come to see.","[see, tourist, he]",travel
14,Rosalia de Castro,"I see my path, but I don't know where it leads. Not knowing where I'm going is what inspires me to travel it.","[path, me, know]",travel
15,Ernest Hemingway,Never go on trips with anyone you do not love.,"[love, you, go]",travel
16,Stephen Hawking,"Time travel used to be thought of as just science fiction, but Einstein's general theory of relativity allows for the possibility that we could warp space-time so much that you could go off in a rocket and return before you set out.","[time, science, thought]",travel
17,Susan Sontag,Travel becomes a strategy for accumulating photographs.,"[strategy, photographs]",travel
18,Patrick MacGill,"There comes a moment on a journey when something sweet, something irresistible and charming as wine raised to thirsty lips, wells up in the traveller's being.","[journey, wine, moment]",travel
19,Marcel Proust,"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.","[eyes, discovery, real]",travel
20,Giotto di Bondone,"Rome is the city of echoes, the city of illusions, and the city of yearning.","[rome, city, illusions]",travel
21,Robert Louis Stevenson,"We are all travelers in the wilderness of this world, and the best we can find in our travels is an honest friend.","[best, world, find]",travel
22,Ivanka Trump,"In both business and personal life, I've always found that travel inspires me more than anything else I do. Evidence of the languages, cultures, scenery, food, and design sensibilities that I discover all over the world can be found in every piece of my jewelry.","[life, business, food]",travel
23,Loretta Young,"If you have enthusiasm, you have a very dynamic, effective companion to travel with you on the road to Somewhere.","[road, enthusiasm, you]",travel
24,Leonardo da Vinci,"For once you have tasted flight you will walk the earth with your eyes turned skywards, for there you have been and there you will long to return.","[eyes, earth, walk]",travel
25,Damon Albarn,Being in Blur has allowed me to travel and hear the music that's being made all over the world.,"[music, world, me]",travel
