,0,1,2,3
0,Anthony Bourdain,"Southeast Asia has a real grip on me. From the very first time I went there, it was a fulfillment of my childhood fantasies of the way travel should be.","[time, childhood, me]",travel
1,Anthony Bourdain,"I'm very proud of the Rome episode of 'No Reservations' because it violated all the conventional wisdom about making television. You're never, ever supposed to do a food or travel show in black and white.","[wisdom, food]",travel
2,Ellen DeGeneres,"The first time probably people really were aware of me, I unfortunately had the title of Showtime's Funniest Person in America. And that's a really tough title to travel around with when you're not even known.","[time, america, people]",travel
3,Ben Shapiro,"With the dramatic increase in ease of transportation and the incredible decrease in the amount of time required to travel between far-flung areas of the United States, representatives began spending more and more time in Washington and less and less time in their home districts.","[time, home, transportation]",travel
4,Isabel Allende,"I read on my iPad when I travel. I listen to audiobooks in the car. I read books in my bedroom, where I have a comfortable couch, a lamp and two dogs to keep me warm.","[car, me, warm]",travel
5,Horace,"Strange - is it not? That of the myriads who Before us passed the door of Darkness through, Not one returns to tell us of the road Which to discover we must travel too.","[darkness, road, door]",travel
6,Joshua Bell,"The symphonies are the things that, as a soloist, I've not gotten to play. I used to travel the world playing concertos, and then I would sit and listen to the symphony.","[world, listen, play]",travel
7,Hugh Jackman,"I have two kids, career and I travel, and I don't think my life is any different than most couples. The most valuable commodity now for many people is time and how to parcel that out.","[life, time, people]",travel
8,Salma Hayek,"I think it's important that kids have responsibilities and understand the value of things, but I think it's great I get to travel the world with my daughter.","[great, daughter, world]",travel
9,James Comey,"Social media has allowed groups, such as ISIL, to use the Internet to spot and assess potential recruits. With the widespread horizontal distribution of social media, terrorists can identify vulnerable individuals of all ages in the United States - spot, assess, recruit, and radicalize - either to travel or to conduct a homeland attack.","[social media, media]",travel
10,Nadia Comaneci,We are not coaching on a daily basis because we often travel with our charity and commercial interests.,"[daily, charity, coaching]",travel
11,Nadia Comaneci,"Now, I have a kid, I have businesses to take care of, I have to travel. I have to sit down... and find a little time for me.","[time, me, care]",travel
12,Natalie Dormer,"Travel is so important in its capacity to expand the mind. It's exciting to start as young as possible - you get to see how other cultures live, challenge your senses, and try different cuisines.","[mind, challenge, live]",travel
13,John Legend,"I think they need to get a more reliable way of watching television on the laptop. Because I travel so much, if I want to watch my favorite sports team it might not be showing in that place, so I want a reliable way to watch whatever I want to watch on my laptop.","[sports, team, want]",travel
14,Marc Jacobs,"I mean, I'd love to have a private jet - I know people who fly by private jet all the time... I've hitched a ride a few times and it is not overrated at all; it's a great way to travel!","[love, time, great]",travel
15,Doris Lessing,I think kids ought to travel. I think it's very good to carry kids around. It's good for them. Of course it's tough on the parents.,"[good, parents, tough]",travel
16,Morrissey,"If you travel to Germany, it's still absolutely Germany. If you travel to Sweden, it still has a Swedish identity.","[identity, you, germany]",travel
17,Matt Mullenweg,"When I travel, which is most of the year, I live in TripIt.","[year, live, most]",travel
18,Thomas Fuller,"Travel makes a wise man better, and a fool worse.","[wise, man, fool]",travel
19,Jason Day,I travel with Club Glove.,"[club, glove]",travel
20,Robert Louis Stevenson,"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.","[great, go, move]",travel
21,Robert Louis Stevenson,To travel hopefully is a better thing than to arrive.,"[better, thing, arrive]",travel
22,Paloma Faith,"I travel regularly and have learnt to be very methodical as far as packing is concerned. For example, I always check the weather in advance of where I'm going to ensure that I've packed the right clothes.","[weather, clothes, always]",travel
23,Brian Greene,The bottom line is that time travel is allowed by the laws of physics.,"[time, time travel, physics]",travel
24,Victoria Beckham,"I wake up every morning and I feel like I'm juggling glass balls. I live in Los Angeles, my business is run out of London, and most evenings I'm cuddled up in front of Skype, in my dressing gown, speaking with my studio in London. I travel a lot, my team travel a lot, but I wouldn't have it any other way.","[business, morning, team]",travel
25,Bindi Irwin,"I guess, growing up at Australia Zoo and getting to travel all over the world, I have this great outlook on life, and that's what I hope I inspire other kids to have.","[life, hope, great]",travel
