,0,1,2,3
0,E. L. Doctorow,One of the things I had to learn as a writer was to trust the act of writing. To put myself in the position of writing to find out what I was writing.,"[myself, writing, learn]",trust
1,Ron Fournier,"Republicans would have preferred the court overturn the health care bill, an act that would have underscored Obama's biggest liability - the perception among voters, including those who like and trust him, that he has been ineffective.","[health, perception, care]",trust
2,Benjamin Walker,Don't trust somebody that don't have a troubled period.,"[troubled, somebody, period]",trust
3,Matthew Fox,"And as I've gotten deeper into the process of making films and television and such, I think I have more trust in the fact that you really never know what you're going to find after the twenty-fifth take.","[know, find, television]",trust
4,John Podhoretz,"You'd think experienced political professionals would know better than to place their trust in exit polls, notoriously inaccurate surveys that had John Kerry winning the 2004 election by five points when he actually lost by three.","[winning, election, political]",trust
5,Michael Gove,"What we're doing now is we're saying that individual schools can spend the money on their own priorities, so that head teachers can decide what's truly important, because the big shift in approach on education that we're taking - which is different from what happened before - is that we trust teachers and we trust heads.","[education, money, priorities]",trust
6,Fatima Siad,"The Broken Bow group is such a great family and seem like a group of tight-knit people. When I looked for a new label, I wanted to feel I could trust everybody. I wanted motivation to be at an all-time high.","[family, great, motivation]",trust
7,John Key,Bronagh looks after the kids and without her the family would disintegrate... there are some things you can't discuss with anyone other than your wife. There has to be a strong bond of trust.,"[family, strong, wife]",trust
8,Elizabeth Reaser,"I've stayed away from Twitter for a long time because I sort of didn't trust myself with such an intimate but very public way of relating to the world, but I feel like I've studied it enough.","[time, myself, world]",trust
9,Jane Lynch,"I know it sounds new age-y, but what I've truly come up with is that you really need to trust that you're on your own path, as long as you stay true to it and you show up, which is 99% of it.","[path, know, true]",trust
10,Shawn Levy,"When you do a drama, you are challenged to trust your inner voice much more. Because when you put a comedy in front of even a 25-person screening, you know whether it's working or not. The barometer is overt.","[voice, know, you]",trust
11,Josh Bowman,The first thing I've learned is to trust nobody.,"[nobody, first, learned]",trust
12,Charles Frazier,"Writing doesn't come real easy to me. I couldn't write a novel in a year. It wouldn't be readable. I don't let an editor even look at it until the second year, because it would just scare them. I just have to trust that all these scraps and dead-ends will find a way.","[writing, year, me]",trust
13,Emma Roberts,"I never ask boys' opinions on clothes, ever. I really think, unless you think the guy has style, don't ask. So I only ask my girl friends. I don't trust guys' opinions on style!","[style, friends, girl]",trust
14,Emma Roberts,You can't trust actors.,[you],trust
15,Ruth J. Simmons,I often say that shareholders should feel very responsible for how responsive corporations are to the public trust.,"[feel, responsible, say]",trust
16,John Lahr,"Theatre people, who are an adaptive species, know that to remain sane in the process of production where everyone and his uncle has an opinion about how to fix a show, you must pick the people whose knowledge and taste you trust and stick only to these few. The Tweetocracy is no place to look.","[knowledge, theatre, people]",trust
17,Michael Lee-Chin,You must look like a money person for clients to trust you.,"[money, look, you]",trust
18,Sharon Salzberg,"If we have a very strong commitment, so that we can trust ourselves and be beacons of trust for others no matter what the circumstance, then we're protected from suffering the consequences of many actions. We can be protected from that pain.","[strong, pain, commitment]",trust
19,Stephen A. Schwarzman,"For future geopolitical stability and global prosperity, we need to build a culture of greater trust and understanding between China, America and the rest of the world.","[future, culture, america]",trust
20,Brennan Manning,Ruthless trust ultimately comes down to this: faith in the person of Jesus and hope in his promise.,"[hope, faith, down]",trust
21,Ben Huh,The fact of the matter is that the Internet has brought together millions of people who trust one another for reasons that are unknown.,"[together, internet, people]",trust
22,Trey Gowdy,It always matters whether or not you can trust your government.,"[government, you, matters]",trust
23,Amy Seimetz,"I like to invest as a performer in the director's vision and then bring a sense of reality to whatever I'm doing, whether it's comedy or whether it's drama, and trust that they're going to tell me if something's reading as funny or if it's reading as dramatic or reading in the right tone.","[funny, vision, reading]",trust
24,Adrianne Palicki,"With all the care that women do and all the money we spend to maintain our hair, men can at least take the time to wash their face with a simple inexpensive product that will soften their facial hair so they're not hurting us when we go in for a kiss. Trust me, guys, women will want to kiss you more if you take care of your facial hair.","[time, money, women]",trust
25,Nick Cave,You can't trust an artist that just makes good records.,"[good, artist, you]",trust
