,0,1,2,3
0,Bob Marley,Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,"[relationship, suffering]",truth
1,Buddha,"Three things cannot be long hidden: the sun, the moon, and the truth.","[moon, sun, long]",truth
2,Albert Einstein,Whoever is careless with the truth in small matters cannot be trusted with important matters.,"[trust, small, important]",truth
3,Eminem,"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.","[life, crazy, tomorrow]",truth
4,"Martin Luther King, Jr.",I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,"[love, peace, war]",truth
5,Rabindranath Tagore,Beauty is truth's smile when she beholds her own face in a perfect mirror.,"[smile, beauty, mirror]",truth
6,Marcus Aurelius,"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.","[perspective, opinion, see]",truth
7,Malcolm X,"I'm for truth, no matter who tells it. I'm for justice, no matter who it's for or against.","[justice, matter, against]",truth
8,Thomas Jefferson,Honesty is the first chapter in the book of wisdom.,"[wisdom, book, honesty]",truth
9,William Shakespeare,"Doubt thou the stars are fire, Doubt that the sun doth move. Doubt truth to be a liar, But never doubt I love.","[love, stars, sun]",truth
10,Charles Spurgeon,A lie can travel half way around the world while the truth is putting on its shoes.,"[travel, trust, shoes]",truth
11,Jesus Christ,"I am the Way, the Truth, and the Life. No one comes to the Father except through me.","[life, father, i am]",truth
12,Mark Twain,"If you tell the truth, you don't have to remember anything.","[remember, you, tell]",truth
13,Tom Hanks,"Truth is, I'll never know all there is to know about you just as you will never know all there is to know about me. Humans are by nature too complicated to be understood fully. So, we can choose either to approach our fellow human beings with suspicion or to approach them with an open mind, a dash of optimism and a great deal of candour.","[relationship, nature, great]",truth
14,Louis Aragon,"Light is meaningful only in relation to darkness, and truth presupposes error. It is these mingled opposites which people our life, which make it pungent, intoxicating. We only exist in terms of this conflict, in the zone where black and white clash.","[life, light, black and white]",truth
15,Friedrich Nietzsche,All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.,"[time, power, interpretation]",truth
16,Charles Stanley,"Our heavenly Father understands our disappointment, suffering, pain, fear, and doubt. He is always there to encourage our hearts and help us understand that He's sufficient for all of our needs. When I accepted this as an absolute truth in my life, I found that my worrying stopped.","[life, god, father]",truth
17,Friedrich Nietzsche,"On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow.","[today, training, mountains]",truth
18,Liu Xiaobo,"Free expression is the base of human rights, the root of human nature and the mother of truth. To kill free speech is to insult human rights, to stifle human nature and to suppress truth.","[nature, mother, human rights]",truth
19,Isaac Newton,"I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the seashore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.","[trust, myself, great]",truth
20,Muhammad Ali,"I know where I'm going and I know the truth, and I don't have to be what you want me to be. I'm free to be what I want.","[motivational, me, free]",truth
21,Conor McGregor,"The thing about the truth is, not a lot of people can handle it.","[people, handle, thing]",truth
22,W. Clement Stone,Have the courage to say no. Have the courage to face the truth. Do the right thing because it is right. These are the magic keys to living your life with integrity.,"[life, courage, integrity]",truth
23,Aesop,"A liar will not be believed, even when he speaks the truth.","[liar, will, even]",truth
24,Wallace Stevens,Perhaps the truth depends on a walk around the lake.,"[walk, lake, depends]",truth
25,Bo Bennett,"For every good reason there is to lie, there is a better reason to tell the truth.","[trust, good, lie]",truth
