,0,1,2,3
0,Pindar,Not every truth is the better for showing its face undisguised; and often silence is the wisest thing for a man to heed.,"[silence, man, face]",truth
1,Bill Nelson,"One of the great privileges of being a part of the Senate, it being the greatest deliberative body in the world, is out of the discussions of ideas, hopefully truth can ultimately be achieved.","[great, greatest, world]",truth
2,Chuck Schumer,"Anyone who thinks they have a monopoly on truth, and there is only one way to see the world, always gets us into trouble.","[world, way, see]",truth
3,Bryant H. McGill,One column of truth cannot hold an institution of ideas from falling into ignorance. It is wiser that a person of prudence and purpose save his strength for battles that can be won.,"[strength, ignorance, purpose]",truth
4,Bryant H. McGill,Truth is not a matter of fact but a state of harmony with progress and hope. Enveloped only in its wings will we ever soar to the promise of our greater selves.,"[hope, progress, wings]",truth
5,Carl Reiner,The absolute truth is the thing that makes people laugh.,"[people, laugh]",truth
6,Frederick Law Olmsted,"The possession of arbitrary power has always, the world over, tended irresistibly to destroy humane sensibility, magnanimity, and truth.","[power, world, always]",truth
7,Thomas Middleton,"When affection only speaks, truth is not always there.","[affection, always, only]",truth
8,Paul de Man,Literature exists at the same time in the modes of error and truth; it both betrays and obeys its own mode of being.,"[time, literature, same]",truth
9,James Otis,It is a clear truth that those who every day barter away other men's liberty will soon care little for their own.,"[day, men, care]",truth
10,Dave Sim,"Once a profound truth has been seen, it cannot be 'unseen'. There's no 'going back' to the person you were. Even if such a possibility did exist... why would you want to?","[want, you, profound]",truth
11,Albert Camus,A taste for truth at any cost is a passion which spares nothing.,"[passion, nothing, cost]",truth
12,Albert Einstein,"In matters of truth and justice, there is no difference between large and small problems, for issues concerning the treatment of people are all the same.","[justice, small, people]",truth
13,Andy Rooney,People will generally accept facts as truth only if the facts agree with what they already believe.,"[believe, people, facts]",truth
14,Emily Dickinson,"Tell the truth, but tell it slant.","[tell, slant]",truth
15,Henri Frederic Amiel,Truth is not only violated by falsehood; it may be equally outraged by silence.,"[silence, may, outraged]",truth
16,Hosea Ballou,Doubt is the incentive to truth and inquiry leads the way.,"[doubt, way, inquiry]",truth
17,Hunter S. Thompson,Truth is weirder than any fiction I've seen.,"[fiction, seen, than]",truth
18,Lillian Hellman,Cynicism is an unpleasant way of saying the truth.,"[way, saying, cynicism]",truth
19,Stephen King,"Only enemies speak the truth; friends and lovers lie endlessly, caught in the web of duty.","[friends, speak, lie]",truth
20,Michael Musto,"In the last few years, the very idea of telling the truth, the whole truth, and nothing but the truth is dredged up only as a final resort when the alternative options of deception, threat and bribery have all been exhausted.","[nothing, deception, options]",truth
21,Michelle Obama,"The truth is, in order to get things like universal health care and a revamped education system, then someone is going to have to give up a piece of their pie so that someone else can have more.","[education, health, care]",truth
22,Aesop,"Every truth has two sides; it is as well to look at both, before we commit ourselves to either.","[look, commit, two]",truth
23,Patrick Murray,"A Lawyer will do anything to win a case, sometimes he will even tell the truth.","[lawyer, win, sometimes]",truth
24,Drake,"I'm actually a very honest person, and sometimes I end up like, 'Man, I said too much.' It's hard for me not to tell the truth when you ask me.","[end, man, me]",truth
25,Andre Malraux,"Then I despair... I remember that all through history, the way of truth and love has always won. There have been murderers and tyrants, and for a time they can seem invincible. But in the end they always fall. Think of it always.","[love, time, history]",truth
