,0,1,2,3
0,William Shakespeare,"Doubt thou the stars are fire, Doubt that the sun doth move. Doubt truth to be a liar, But never doubt I love.","[love, truth, stars]",valentinesday
1,Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,"[love, chocolate, hurt]",valentinesday
2,Thomas Merton,Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,"[life, love, alone]",valentinesday
3,Maya Angelou,If you have only one smile in you give it to the people you love.,"[love, smile, people]",valentinesday
4,Rumi,"This is love: to fly toward a secret sky, to cause a hundred veils to fall each moment. First to let go of life. Finally, to take a step without feet.","[life, love, sky]",valentinesday
5,Rumi,"The minute I heard my first love story, I started looking for you, not knowing how blind that was. Lovers don't finally meet somewhere. They're in each other all along.","[love, looking, blind]",valentinesday
6,Yoko Ono,"There's a long life ahead of you and it's going to be beautiful, as long as you keep loving and hugging each other.","[life, beautiful, ahead]",valentinesday
7,Bil Keane,They invented hugs to let people know you love them without saying anything.,"[love, people, know]",valentinesday
8,Blaise Pascal,The heart has its reasons of which reason knows nothing.,"[heart, nothing, reason]",valentinesday
9,Lord Byron,Love will find a way through paths where wolves fear to prey.,"[love, fear, find]",valentinesday
10,Clara Schumann,I do not want horses or diamonds - I am happy in possessing you.,"[happy, i am, diamonds]",valentinesday
11,Albert Camus,"I know of only one duty, and that is to love.","[love, know, duty]",valentinesday
12,John Keats,"Now a soft kiss - Aye, by that kiss, I vow an endless bliss.","[kiss, bliss, now]",valentinesday
13,Margaret Atwood,The Eskimos had fifty-two names for snow because it was important to them: there ought to be as many for love.,"[love, snow, important]",valentinesday
14,Emma Goldman,I'd rather have roses on my table than diamonds on my neck.,"[diamonds, roses, table]",valentinesday
15,Victor Hugo,"How did it happen that their lips came together? How does it happen that birds sing, that snow melts, that the rose unfolds, that the dawn whitens behind the stark shapes of trees on the quivering summit of the hill? A kiss, and all was said.","[snow, together, rose]",valentinesday
16,Fernando Pessoa,"Look, there's no metaphysics on earth like chocolates.","[earth, look, like]",valentinesday
17,Frank Morgan,"A heart is not judged by how much you love, but by how much you are loved by others.","[love, heart, loved]",valentinesday
18,John Updike,We are most alive when we're in love.,"[love, alive, most]",valentinesday
19,Joyce Carol Oates,In love there are two things - bodies and words.,"[love, words, two]",valentinesday
20,Willa Cather,"Where there is great love, there are always wishes.","[love, great, wishes]",valentinesday
21,Christina Rossetti,Love shall be our token; love be yours and love be mine.,"[love, mine, token]",valentinesday
22,Thomas Hood,"Oh, if it be to choose and call thee mine, love, thou art every day my Valentine!","[love, art, day]",valentinesday
23,Donatella Versace,I like perfume and flowers.,"[flowers, perfume, like]",valentinesday
24,e. e. cummings,Kisses are a better fate than wisdom.,"[wisdom, fate, better]",valentinesday
25,Michel de Montaigne,"If you press me to say why I loved him, I can say no more than because he was he, and I was I.","[me, loved, you]",valentinesday
