,0,1,2,3
0,Percy Bysshe Shelley,Soul meets soul on lovers' lips.,"[soul, lips, lovers]",valentinesday
1,Rupert Brooke,A kiss makes the heart young again and wipes out the years.,"[heart, kiss, young]",valentinesday
2,W. H. Auden,"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.","[love, mountain, river]",valentinesday
3,Ethel Merman,Everything's coming up roses - for me.,"[me, roses, everything]",valentinesday
4,Thomas Moore,"A friendship that like love is warm; A love like friendship, steady.","[love, friendship, love is]",valentinesday
5,Henri de Toulouse-Lautrec,Love is when the desire to be desired takes you so badly that you feel you could die of it.,"[love, love is, die]",valentinesday
6,Nicholas Sparks,"Romance is thinking about your significant other, when you are supposed to be thinking about something else.","[thinking, you, something]",valentinesday
7,Ginnifer Goodwin,"I love Valentine's Day! I love it, I love it, I love it. I like having doors opened for me. My favorite romantic comedy is 'When Harry Met Sally.'","[love, romantic, day]",valentinesday
8,Elizabeth Bowen,When you love someone all your saved up wishes start coming out.,"[love, start, someone]",valentinesday
9,Robert Herrick,"Give me a kiss, and to that kiss a score; Then to that twenty, add a hundred more: A thousand to that hundred: so kiss on, To make that thousand up a million. Treble that million, and when that is done, Let's kiss afresh, as when we first begun.","[kiss, me, done]",valentinesday
10,Christian Nestell Bovee,It is the passion that is in a kiss that gives to it its sweetness; it is the affection in a kiss that sanctifies it.,"[passion, kiss, affection]",valentinesday
11,Judy Garland,"For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul.","[heart, soul, you]",valentinesday
12,A. A. Milne,"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.","[day, live, want]",valentinesday
13,Cameron Diaz,I'd kiss a frog even if there was no promise of a Prince Charming popping out of it. I love frogs.,"[love, kiss, frog]",valentinesday
14,John Keats,"You are always new, the last of your kisses was ever the sweetest.","[you, new, always]",valentinesday
15,Esai Morales,I love bringing roses to a woman when she least expects it.,"[love, woman, roses]",valentinesday
16,Robert Orben,"I got a Valentine's Day card from my girl. It said, 'Take my heart! Take my arms! Take my lips!' Which is just like her. Keeping the best part for herself.","[best, heart, day]",valentinesday
17,Robert Browning,"So, fall asleep love, loved by me... for I know love, I am loved by thee.","[love, i am, me]",valentinesday
18,Jay Leno,"Today is Valentine's Day - or, as men like to call it, Extortion Day!","[today, day, men]",valentinesday
19,Susie Bright,I'm like the kid in kindergarten; I really do send valentines to everyone.,"[everyone, kindergarten, kid]",valentinesday
20,Drew Barrymore,I love romance. I'm a sucker for it. I love it so much. It's pathetic.,"[love, romance, much]",valentinesday
21,Jennifer Aniston,The best smell in the world is that man that you love.,"[love, best, man]",valentinesday
22,Audre Lorde,"Each time you love, love as deeply as if it were forever.","[love, time, you]",valentinesday
23,George Edward Moore,"The hours I spend with you I look upon as sort of a perfumed garden, a dim twilight, and a fountain singing to it. You and you alone make me feel that I am alive. Other men it is said have seen angels, but I have seen thee and thou art enough.","[art, alone, i am]",valentinesday
