,0,1,2,3
0,Douglas MacArthur,"The soldier above all others prays for peace, for it is the soldier who must suffer and bear the deepest wounds and scars of war.","[peace, war, soldier]",veteransday
1,Lucius Annaeus Seneca,"Brave men rejoice in adversity, just as brave soldiers triumph in war.","[war, adversity, men]",veteransday
2,Alfred M. Gray,I go where the sound of thunder is.,"[sound, go, where]",veteransday
3,Marcus Tullius Cicero,"Live as brave men; and if fortune is adverse, front its blows with brave hearts.","[men, brave, live]",veteransday
4,Charles B. Rangel,Honoring the sacrifices many have made for our country in the name of freedom and democracy is the very foundation of Veterans Day.,"[freedom, democracy, day]",veteransday
5,Arthur Ashe,"True heroism is remarkably sober, very undramatic. It is not the urge to surpass all others at whatever cost, but the urge to serve others at whatever cost.","[heroism, true, whatever]",veteransday
6,Douglas MacArthur,"Duty, Honor, Country. Those three hallowed words reverently dictate what you ought to be, what you can be, what you will be.","[honor, words, country]",veteransday
7,Charles Spurgeon,The Lord gets his best soldiers out of the highlands of affliction.,"[best, soldiers, lord]",veteransday
8,Nick Lampson,"But this Veterans Day, I believe we should do more than sing the praises of the bravery and patriotism that our veterans have embodied in the past. We should take this opportunity to re-evaluate how we are treating our veterans in the present.","[patriotism, opportunity, day]",veteransday
9,Alexander Hamilton,"There is a certain enthusiasm in liberty, that makes human nature rise above itself, in acts of bravery and heroism.","[nature, bravery, heroism]",veteransday
10,George S. Patton,It is foolish and wrong to mourn the men who died. Rather we should thank God that such men lived.,"[god, thank god, men]",veteransday
11,Sun Tzu,"Regard your soldiers as your children, and they will follow you into the deepest valleys; look on them as your own beloved sons, and they will stand by you even unto death.","[death, children, stand]",veteransday
12,Bernard Law Montgomery,"Every soldier must know, before he goes into battle, how the little battle he is to fight fits into the larger picture, and how the success of his fighting will influence the battle as a whole.","[success, battle, influence]",veteransday
13,Bill Frist,"The valor and courage of our young women and men in the armed services are a shining example to all of the world, and we owe them and their families our deepest respect.","[respect, courage, women]",veteransday
14,Judd Gregg,The veterans of our military services have put their lives on the line to protect the freedoms that we enjoy. They have dedicated their lives to their country and deserve to be recognized for their commitment.,"[commitment, veterans, enjoy]",veteransday
15,John Keegan,"Soldiers, when committed to a task, can't compromise. It's unrelenting devotion to the standards of duty and courage, absolute loyalty to others, not letting the task go until it's been done.","[courage, loyalty, soldiers]",veteransday
16,John Doolittle,America's Veterans have served their country with the belief that democracy and freedom are ideals to be upheld around the world.,"[freedom, democracy, america]",veteransday
17,Dan Lipinski,"On this Veterans Day, let us remember the service of our veterans, and let us renew our national promise to fulfill our sacred obligations to our veterans and their families who have sacrificed so much so that we can live free.","[service, day, veterans]",veteransday
18,John Linder,"Our soldiers have nobly fought to protect freedom since our country's birth, and have fought to protect those that could not protect themselves, even in foreign lands when called upon.","[freedom, soldiers, country]",veteransday
19,Randy Neugebauer,"While only one day of the year is dedicated solely to honoring our veterans, Americans must never forget the sacrifices that many of our fellow countrymen have made to defend our country and protect our freedoms.","[day, veterans, year]",veteransday
20,Tom Clancy,"The U.S. Military is us. There is no truer representation of a country than the people that it sends into the field to fight for it. The people who wear our uniform and carry our rifles into combat are our kids, and our job is to support them, because they're protecting us.","[support, job, people]",veteransday
21,Oliver Cromwell,A few honest men are better than numbers.,"[men, better, honest]",veteransday
22,H. L. Mencken,In war the heroes always outnumber the soldiers ten to one.,"[war, soldiers, heroes]",veteransday
23,Robert Green Ingersoll,"When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death - that is heroism.","[death, fear, honor]",veteransday
24,Rand Beers,The precondition to freedom is security.,"[freedom, security]",veteransday
25,Napoleon Bonaparte,"When soldiers have been baptized in the fire of a battle-field, they have all one rank in my eyes.","[eyes, fire, soldiers]",veteransday
