,0,1,2,3
0,Ira Hayes,I am not a hero but the brave men who died deserved this honor.,"[hero, i am, men]",veteransday
1,Giuseppe Garibaldi,"I offer neither pay, nor quarters, nor food; I offer only hunger, thirst, forced marches, battles and death. Let him who loves his country with his heart, and not merely with his lips, follow me.","[death, food, heart]",veteransday
2,Steve Buyer,"Because all of us believe and understand in the fabric of the common bond of why we call ourselves American is to care for the men and women who wear the uniform; and when they take off the uniform, we care for them when they are veterans.","[women, believe, men]",veteransday
3,Francois de La Rochefoucauld,"Perfect Valor is to do, without a witness, all that we could do before the whole world.","[world, perfect, valor]",veteransday
4,Norman Schwarzkopf,It takes a hero to be one of those men who goes into battle.,"[hero, battle, men]",veteransday
5,Plautus,Courage in danger is half the battle.,"[courage, battle, danger]",veteransday
6,Henrik Ibsen,Never wear your best trousers when you go out to fight for freedom and truth.,"[best, freedom, truth]",veteransday
7,Molly Ivins,"The thing is this: You got to have fun while you're fightin' for freedom, 'cause you don't always win.","[freedom, fun, win]",veteransday
8,Chris Kyle,"I'm trying to raise the awareness of the troops that, when they deploy and go to war, it's not just them at war - it's also their family. Their family is having to go through all the hardships and the stresses.","[family, war, trying]",veteransday
9,Sebastian Junger,The only thing that makes battle psychologically tolerable is the brotherhood among soldiers. You need each other to get by.,"[battle, brotherhood, you]",veteransday
10,Barbara Bush,"Well, look at what people are doing for returned veterans now. The wounded warriors. They're working hard to make the wounded veterans feel that they are loved and welcomed home, unlike Vietnam. It was not a very kind, gentle world then. I think we are kinder and gentler.","[home, working hard, veterans]",veteransday
11,John Boehner,Spending time with America's soldiers is always inspiring.,"[time, america, spending time]",veteransday
12,R. Lee Ermey,America's trying to do the best for its veterans.,"[best, america, veterans]",veteransday
13,Gilbert K. Chesterton,Brave men are all vertebrates; they have their softness on the surface and their toughness in the middle.,"[men, brave, toughness]",veteransday
14,George Eliot,The reward of one duty is the power to fulfill another.,"[power, reward, duty]",veteransday
15,Doc Hastings,We owe our World War II veterans - and all our veterans - a debt we can never fully repay.,"[war, veterans, world]",veteransday
16,Solomon Ortiz,"As a former veteran, I understand the needs of veterans, and have been clear - we will work together, stand together with the Administration, but we will also question their policies when they shortchange veterans and military retirees.","[work, together, veterans]",veteransday
17,Horatio Nelson,"Gentlemen, when the enemy is committed to a mistake we must not interrupt him too soon.","[enemy, mistake, him]",veteransday
18,John Warner,"Tragically, the effort to make America and the world safer and to defend freedom around the world is not without an enormous cost to this Nation in terms primarily of lost lives and those who bear the scars and the wounds of war, and their families who must bear these losses.","[war, freedom, effort]",veteransday
19,Henry Waxman,"The sanctity of our battlefields, monuments, and veterans institutions is of utmost importance to preserve military history and pay respect to those who fought.","[respect, history, veterans]",veteransday
