,0,1,2,3
0,Donald Trump,Sometimes by losing a battle you find a new way to win the war.,"[failure, battle, losing]",war
1,"Martin Luther King, Jr.",I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,"[love, peace, truth]",war
2,Leo Tolstoy,The two most powerful warriors are patience and time.,"[time, patience, powerful]",war
3,Sun Tzu,The supreme art of war is to subdue the enemy without fighting.,"[art, enemy, fighting]",war
4,Winston Churchill,"We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.","[fight, island, may]",war
5,George Orwell,War is peace. Freedom is slavery. Ignorance is strength.,"[strength, peace, freedom]",war
6,George S. Patton,The object of war is not to die for your country but to make the other bastard die for his.,"[die, country, object]",war
7,Benjamin Franklin,"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.","[new year's, peace, man]",war
8,Sun Tzu,"Know thy self, know thy enemy. A thousand battles, a thousand victories.","[self, enemy, know]",war
9,John Adams,I must study politics and war that my sons may have liberty to study mathematics and philosophy.,"[politics, mathematics]",war
10,John F. Kennedy,Mankind must put an end to war before war puts an end to mankind.,"[end, mankind, before]",war
11,Bertrand Russell,War does not determine who is right - only who is left.,"[right, left, only]",war
12,Douglas MacArthur,"Build me a son, O Lord, who will be strong enough to know when he is weak, and brave enough to face himself when he is afraid, one who will be proud and unbending in honest defeat, and humble and gentle in victory.","[strong, humble, son]",war
13,George S. Patton,Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.,"[best, fear, battle]",war
14,Mao Zedong,Politics is war without bloodshed while war is politics with bloodshed.,"[politics, without, bloodshed]",war
15,Sun Tzu,"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.","[win, first, defeated]",war
16,J. Robert Oppenheimer,The atomic bomb made the prospect of future war unendurable. It has led us up those last few steps to the mountain pass; and beyond there is a different country.,"[future, mountain, country]",war
17,John Maynard Keynes,The decadent international but individualistic capitalism in the hands of which we found ourselves after the war is not a success. It is not intelligent. It is not beautiful. It is not just. It is not virtuous. And it doesn't deliver the goods.,"[success, beautiful, hands]",war
18,John C. Calhoun,"The day that the balance between the two sections of the country - the slaveholding States and the non-slaveholding States - is destroyed is a day that will not be far removed from political revolution, anarchy, civil war, and widespread disaster.","[day, balance, political]",war
19,George Washington,"My first wish is to see this plague of mankind, war, banished from the earth.","[earth, wish, see]",war
20,Thomas Hobbes,The condition of man... is a condition of war of everyone against everyone.,"[man, everyone, against]",war
21,John Adams,Great is the guilt of an unnecessary war.,"[great, guilt, unnecessary]",war
22,Douglas MacArthur,"The soldier above all others prays for peace, for it is the soldier who must suffer and bear the deepest wounds and scars of war.","[peace, soldier, deepest]",war
23,Lucius Annaeus Seneca,"Brave men rejoice in adversity, just as brave soldiers triumph in war.","[adversity, men, brave]",war
24,Voltaire,To hold a pen is to be at war.,"[communication, pen, hold]",war
25,Otto von Bismarck,"People never lie so much as after a hunt, during a war or before an election.","[election, people, lie]",war
