,0,1,2,3
0,Jon Meacham,World War II ended the Great Depression with one of the great public-private industrial collaborations in the history of man.,"[history, great, depression]",war
1,John Podhoretz,"The United States established itself as a trustworthy new nation in its first two decades after the Revolutionary War by paying its debts, even when many in the country believed it had no obligation to do so. Alexander Hamilton, the founder of this newspaper, insisted on it.","[newspaper, country, nation]",war
2,Eduardo Galeano,"Each time a new war is disclosed in the name of the fight of the good against evil, those who are killed are all poor. It's always the same story repeating once and again and again.","[time, good, evil]",war
3,Wendell Phillips,What gunpowder did for war the printing press has done for the mind.,"[mind, printing press, done]",war
4,Hernan Cortes,"Thus they have an idol that they petition for victory in war; another for success in their labors; and so for everything in which they seek or desire prosperity, they have their idols, which they honor and serve.","[success, victory, honor]",war
5,William Lyon Mackenzie King,"Let it be remembered, too, that at a time of war, nearly every one is under great strain.","[time, great, remembered]",war
6,Dick Cheney,"I think the key that happened on 9/11 is we went from considering terrorist attacks as a law enforcement problem to considering terrorist attacks, especially on the scale we have on 9/11, as being an act of war.","[law, problem, think]",war
7,Virginia Postrel,"Americans born since World War II have grown up in a media-saturated environment. From childhood, we have developed a sort of advertising literacy, which combines appreciation for technique with skepticism about motives. We respond to ads with at least as much rhetorical intelligence as we apply to any other form of persuasion.","[intelligence, appreciation]",war
8,Albert Einstein,"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.","[world, know, will]",war
9,Benjamin Franklin,"There was never a good war, or a bad peace.","[peace, good, bad]",war
10,William Tecumseh Sherman,War is hell.,[hell],war
11,George Orwell,War against a foreign country only happens when the moneyed classes think they are going to profit from it.,"[think, country, profit]",war
12,Jean-Paul Sartre,"When the rich wage war, it's the poor who die.","[rich, die, poor]",war
13,Plautus,"Conquered, we conquer.","[conquer, conquered]",war
14,Robert E. Lee,"It is well that war is so terrible, otherwise we should grow too fond of it.","[grow, terrible, should]",war
15,Robert E. Lee,What a cruel thing war is... to fill our hearts with hatred instead of love for our neighbors.,"[love, neighbors, cruel]",war
16,Salvador Dali,Wars have never hurt anybody except the people who die.,"[people, die, hurt]",war
17,Gunter Grass,"How do we prevent Iran developing an atomic bomb, when, on the American side, dropping atomic bombs on Hiroshima and Nagasaki is not recognised as a war crime?","[american, crime, atomic bomb]",war
18,Barack Obama,I don't oppose all wars. What I am opposed to is a dumb war. What I am opposed to is a rash war.,"[i am, dumb, rash]",war
19,William Hazlitt,Those who are at war with others are not at peace with themselves.,"[peace, others, themselves]",war
20,Marco Rubio,America is not perfect. It took a bloody civil war to free over 4 million African Americans who lived enslaved. It took another hundred years after that before they achieved full equality under the law.,"[equality, law, america]",war
21,George W. Bush,The deliberate and deadly attacks which were carried out yesterday against our country were more than acts of terror. They were acts of war.,"[history, yesterday, country]",war
22,Ryszard Kapuscinski,"In the First World War, there was the sudden passion of nationalism, and the killing took place because of these emotions. But the Soviet case is different, because you had systematic murder, like the Holocaust.","[passion, world, holocaust]",war
23,Oriana Fallaci,"Alas, nothing reveals man the way war does. Nothing so accentuates in him the beauty and ugliness, the intelligence and foolishness, the brutishness and humanity, the courage and cowardice, the enigma.","[beauty, courage]",war
24,John Steinbeck,"Sectional football games have the glory and the despair of war, and when a Texas team takes the field against a foreign state, it is an army with banners.","[team, football, army]",war
25,Quintus Tullius Cicero,"During war, the laws are silent.","[silent, laws]",war
