,0,1,2,3
0,Barbara De Angelis,"The real act of marriage takes place in the heart, not in the ballroom or church or synagogue. It's a choice you make - not just on your wedding day, but over and over again - and that choice is reflected in the way you treat your husband or wife.","[marriage, heart, day]",wedding
1,Zig Ziglar,Many people spend more time in planning the wedding than they do in planning the marriage.,"[time, marriage, planning]",wedding
2,Carolina Herrera,A wedding dress is both an intimate and personal for a woman - it must reflect the personality and style of the bride.,"[woman, personality, style]",wedding
3,Paul Sweeney,"A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.","[love, trust, anniversary]",wedding
4,Dan Marino,I'm getting married because I'm in love with a girl and want to spend my life with her. You can't live your life doing what other people want you to or you'll be miserable. At some point you just have to be yourself.,"[life, love, be yourself]",wedding
5,"Oliver Wendell Holmes, Sr.","Love is the master key that opens the gates of happiness, of hatred, of jealousy, and, most easily of all, the gate of fear.","[love, happiness, fear]",wedding
6,Jennifer Aniston,"One tradition I have with my friends is that when one of us gets married, we have a ton of fragrance oils and pretty bottles at the bachelorette party. Everyone puts a drop or two in a bottle for the bride and makes a wish, and the bride wears our creation on her wedding day.","[day, friends, party]",wedding
7,Stewart Butterfield,"About 80 percent of the photos on Flickr are public and searchable by everyone. In one sense, it's a place where people upload snapshots from the family reunion, wedding or the birth of a baby or something like that, but it's also a place where people go to show what the world looks like to them.","[family, baby, world]",wedding
8,Dave Grohl,"There's a big difference between falling in love with someone and falling in love with someone and getting married. Usually, after you get married, you fall in love with the person even more.","[love, fall, someone]",wedding
9,Christopher Morley,The trouble with wedlock is that there's not enough wed and too much lock.,"[trouble, too much, enough]",wedding
10,Heinrich Heine,Music played at weddings always reminds me of the music played for soldiers before they go into battle.,"[music, battle, me]",wedding
11,John James Audubon,"I ate no butcher's meat, lived chiefly on fruits, vegetables, and fish, and never drank a glass of spirits or wine until my wedding day. To this I attribute my continual good health, endurance, and an iron constitution.","[health, good, wine]",wedding
12,Niecy Nash,Falling in love was the easy part; planning a wedding - yikes!,"[love, planning, easy]",wedding
13,Paul McCartney,We were pretty good mates until the Beatles started to split up and Yoko came into it. It was more like old army buddies splitting up on account of wedding bells.,"[good, army, pretty]",wedding
14,Ambrose Bierce,Bride: A woman with a fine prospect of happiness behind her.,"[happiness, woman, bride]",wedding
15,Jane Seymour,"I think a lot of people get so obsessed with the wedding and the expense of the wedding that they miss out on what the real purpose is. It's not about a production number, it's about a meaningful moment between two people that's witnessed by people that they actually really know and care about.","[purpose, people, moment]",wedding
16,Paris Hilton,"I'd imagine my wedding as a fairy tale... huge, beautiful and white.","[beautiful, imagine, white]",wedding
17,Eddie Cantor,A wedding is a funeral where you smell your own flowers.,"[marriage, flowers, smell]",wedding
18,Lily Aldridge,"It's important to still look like yourself on your wedding day, so I didn't do anything drastic.","[day, yourself, important]",wedding
19,Jane Seymour,"When I auditioned for 'Wedding Crashers,' the producers had never seen any of my other work except for Bond. I got 'Wedding Crashers' partly because I was a Bond girl.","[work, girl, bond]",wedding
20,Louise Nurding,"I love Spanish cities, particularly Barcelona, Madrid and Palma, which has the most amazing cathedral that I once went to for a wedding.","[love, amazing, barcelona]",wedding
21,Honore de Balzac,A young bride is like a plucked flower; but a guilty wife is like a flower that had been walked over.,"[flower, wife, bride]",wedding
22,Joseph Addison,A woman seldom asks advice before she has bought her wedding clothes.,"[woman, advice, she]",wedding
23,Oliver Goldsmith,"I chose my wife, as she did her wedding gown, for qualities that would wear well.","[wife, she, her]",wedding
24,Paul Hornung,Never get married in the morning - you never know who you might meet that night.,"[morning, night, know]",wedding
25,Peter Ustinov,Monica Seles: I'd hate to be next door to her on her wedding night.,"[hate, door, night]",wedding
