,0,1,2,3
0,Niecy Nash,"When I got married in 1991, I had never been to a wedding, so I didn't know that my wedding was tacky. I didn't know that I was getting married in a quinceanera dress, because there was nobody there to cry over me and tell me I look like a fool.","[fool, me, dress]",wedding
1,Richard Dawkins,"Even if you believe a creator god invented the laws of physics, would you so insult him as to suggest that he might capriciously and arbitrarily violate them in order to walk on water, or turn water into wine as a cheap party trick at a wedding?","[god, water, wine]",wedding
2,Lance Bass,I think everyone dreams of that nice romantic wedding.,"[dreams, romantic, nice]",wedding
3,Don DeLillo,"I saw a photograph of a wedding conducted by Reverend Moon of the Unification Church. I wanted to understand this event, and the only way to understand it was to write about it.","[moon, church, way]",wedding
4,Alison Brie,"A wedding, people decide to get married, it comes out of such love for one another and then women can turn into these other people. They're planning something that's the biggest event they'll ever plan in their lives and it turns them into this other person, so it's not totally the guy's fault that he's feeling disconnected from this person.","[love, women, planning]",wedding
5,Alice Roosevelt Longworth,"My father always wanted to be the corpse at every funeral, the bride at every wedding and the baby at every christening.","[father, baby, bride]",wedding
6,Elizabeth Taylor,"My mother says I didn't open my eyes for eight days after I was born, but when I did, the first thing I saw was an engagement ring. I was hooked.","[mother, eyes, born]",wedding
7,Groucho Marx,I was married by a judge. I should have asked for a jury.,"[judge, jury, married]",wedding
8,Helen Rowland,A bride at her second marriage does not wear a veil. She wants to see what she is getting.,"[marriage, bride, she]",wedding
9,Robert Frost,"It's a funny thing that when a man hasn't anything on earth to worry about, he goes off and gets married.","[funny, man, earth]",wedding
10,Jessica Simpson,I don't ever really feel that wearing my wedding ring is what determines me being married or not.,"[me, feel, ring]",wedding
11,Selma Blair,A wedding is such a girl thing.,"[girl, thing]",wedding
12,Emily Blunt,"Personally, I'm an advocate for short engagements. Long sometimes means there is a reason for it. Two years engaged and no wedding... I'd be upset.","[short, reason, long]",wedding
13,Trisha Goddard,It was only literally hours after the wedding when he felt he didn't have to keep up the facade.,"[hours, facade, only]",wedding
14,Margot Asquith,She tells enough white lies to ice a wedding cake.,"[cake, she, ice]",wedding
15,Julia Roberts,I did get to keep the wedding dresses from 'Runaway Bride'. They're all boxed up in my garage. I've never opened them. It'll be fun one day when Hazel is taller. She can play dress-up with her friends.,"[day, fun, friends]",wedding
16,Georgina Chapman,"My wedding was at home, so I didn't really want to wear a veil in my house. Instead I wore a lot of diamond hair clips. They were brooches, actually, designed by Lorraine Schwartz.","[home, hair, want]",wedding
17,Georgina Chapman,"I didn't finish my dress until about three days before my wedding - I had the flu and was stitching it from my bed. And the tulle came back from India all brown. We had to wash it for hours, but that didn't dissuade me from wearing it.","[finish, me, dress]",wedding
18,Danny McBride,"Jody Hill, who I created 'Eastbound And Down' and 'Fist Foot Way' with, was my best man at my wedding.","[best, man, down]",wedding
19,Jenna McCarthy,"If you had asked me when I was 28 and in my wedding dress if I ever thought I would end up in my forties flipping my husband the bird over potato chips, I'd say you were crazy.","[end, bird, crazy]",wedding
20,Jo Brand,"When I got married, the Sun ran the headline: 'Here comes the bride, all fat and wide.' Luckily, it was a few days after the wedding - but it was still hideous to read at a great romantic moment.","[romantic, great, sun]",wedding
21,Laura Wasser,"Do I believe in coupling? Do I believe in commitment? Do I believe in co-parenting, raising children together, having a family, and growing old with someone? I absolutely believe in all of those things. I just don't believe that you need to be married to do that. I love going to weddings, though. I do love a good wedding.","[love, family, children]",wedding
22,Bryce Dallas Howard,I found out I was pregnant seven days after my wedding. I was on honeymoon with my family.,"[family, honeymoon, days]",wedding
23,Ron Ben-Israel,"I don't follow trends. I make each cake for a particular wedding, or event.","[cake, follow, trends]",wedding
24,James Thurber,The most dangerous food is wedding cake.,"[food, cake, dangerous]",wedding
25,Sophie Ellis-Bextor,"On my wedding day. I didn't want a natural, blushing-bride look - I had a full-on hairdo and red lips. I thought it would be disingenuous to do the whole virginal look, so even though I had the white dress, I had pink net underneath.","[day, thought, red]",wedding
