,0,1,2,3
0,Henry David Thoreau,"It's not what you look at that matters, it's what you see.","[look, see, you]",wisdom
1,Buddha,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.","[family, happiness, peace]",wisdom
2,Satchel Paige,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.,"[love, work, money]",wisdom
3,Aeschylus,"He who learns must suffer. And even in our sleep pain that cannot forget falls drop by drop upon the heart, and in our own despair, against our will, comes wisdom to us by the awful grace of God.","[god, sleep, heart]",wisdom
4,Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.","[path, may, leave]",wisdom
5,Audrey Hepburn,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.","[kindness, knowledge, good]",wisdom
6,Jim Rohn,Discipline is the bridge between goals and accomplishment.,"[goals, discipline]",wisdom
7,Lao Tzu,The journey of a thousand miles begins with one step.,"[journey, step, begins]",wisdom
8,Socrates,The only true wisdom is in knowing you know nothing.,"[know, nothing, true]",wisdom
9,John Wooden,Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.,"[god, humble, grateful]",wisdom
10,Alfred Austin,Public opinion is no more than this: what people think that other people think.,"[people, opinion, think]",wisdom
11,Anton Chekhov,People don't notice whether it's winter or summer when they're happy.,"[winter, happy, people]",wisdom
12,Thomas Jefferson,Honesty is the first chapter in the book of wisdom.,"[truth, book, honesty]",wisdom
13,Ludwig van Beethoven,Music is a higher revelation than all wisdom and philosophy.,"[music, philosophy]",wisdom
14,Lewis Carroll,"If you don't know where you are going, any road will get you there.","[road, know, you]",wisdom
15,Michael Jordan,"If you're trying to achieve, there will be roadblocks. I've had them; everybody has had them. But obstacles don't have to stop you. If you run into a wall, don't turn around and give up. Figure out how to climb it, go through it, or work around it.","[work, obstacles, trying]",wisdom
16,Hal Borland,"Year's end is neither an end nor a beginning but a going on, with all the wisdom that experience can instill in us.","[new year's, experience, end]",wisdom
17,William Arthur Ward,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.,"[change, wind, optimist]",wisdom
18,John C. Maxwell,"A man must be big enough to admit his mistakes, smart enough to profit from them, and strong enough to correct them.","[mistakes, strong, man]",wisdom
19,Saint Basil,"A tree is known by its fruit; a man by his deeds. A good deed is never lost; he who sows courtesy reaps friendship, and he who plants kindness gathers love.","[love, friendship, kindness]",wisdom
20,George Bernard Shaw,"We are made wise not by the recollection of our past, but by the responsibility for our future.","[future, responsibility, past]",wisdom
21,Confucius,"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.","[experience, reflection]",wisdom
22,"H. Jackson Brown, Jr.",Think big thoughts but relish small pleasures.,"[small, thoughts, think]",wisdom
23,John Wooden,It's the little details that are vital. Little things make big things happen.,"[little things, details]",wisdom
24,Confucius,"When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps.","[goals, action, obvious]",wisdom
25,Calvin Coolidge,"Knowledge comes, but wisdom lingers. It may not be difficult to store up in the mind a vast quantity of facts within a comparatively short time, but the ability to form judgments requires the severe discipline of hard work and the tempering heat of experience and maturity.","[work, time, hard work]",wisdom
