,0,1,2,3
0,Jane Fonda,One part of wisdom is knowing what you don't need anymore and letting it go.,"[you, knowing, need]",wisdom
1,Jane Fonda,I'm now the elder in the position of doling out wisdom and trying to mend fences.,"[trying, now, position]",wisdom
2,Robert Redford,"When you get older, you learn certain life lessons. You apply that wisdom, and suddenly you say, 'Hey, I've got a new lease on this thing. So let's go.'","[life, learn, you]",wisdom
3,Pico Iyer,You can only make sense of the online world by going offline and by getting the wisdom and emotional clarity to know how to make the best use of the Internet.,"[best, world, internet]",wisdom
4,Pico Iyer,"Alas, those six unfortunate souls who have made their way through my books know that every one of them is about Emerson and Thoreau and their dark counters, Melville and Emily Dickinson. Try as I might, I can't get their inspirations, their challenges and sentences and wisdom and questions out of my head.","[challenges, dark, questions]",wisdom
5,"Philip Stanhope, 4th Earl of Chesterfield",In seeking wisdom thou art wise; in imagining that thou hast attained it - thou art a fool.,"[art, wise, fool]",wisdom
6,John C. Calhoun,"When we contend, let us contend for all our rights - the doubtful and the certain, the unimportant and essential. It is as easy to contend, or even more so, for the whole as for a part. At the termination of the contest, secure all that our wisdom and valour and the fortune of war will permit.","[war, easy, rights]",wisdom
7,John C. Calhoun,It is a remarkable fact in the political history of man that there is scarcely an instance of a free constitutional government which has been the work exclusively of foresight and wisdom. They have all been the result of a fortunate combination of circumstances.,"[work, history, man]",wisdom
8,James Gray,"The conventional wisdom is that people come to the United States, and immigration is so great, and they say, 'America, what a great country.' And a lot of that is true.","[great, america, people]",wisdom
9,James Madison,Every nation whose affairs betray a want of wisdom and stability may calculate on every loss which can be sustained from the more systematic policy of its wiser neighbors.,"[loss, neighbors, want]",wisdom
10,Stephen Colbert,"Cynicism masquerades as wisdom, but it is the furthest thing from it. Because cynics don't learn anything. Because cynicism is a self-imposed blindness: a rejection of the world because we are afraid it will hurt us or disappoint us. Cynics always say 'no.' But saying 'yes' begins things. Saying 'yes' is how things grow.","[world, learn, grow]",wisdom
11,Madeleine M. Kunin,"Common wisdom dictates that the vice president should provide balance to the ticket by representing a different part of the country, another set of experiences, or a basketful of electoral votes.","[balance, country, electoral]",wisdom
12,Tommy Lee Jones,You should never ask a horse or an actor to do something they cannot do. Wisdom will teach you to find out what they can do and then make it easy for them.,"[horse, easy, find]",wisdom
13,Nas,With age comes common sense and wisdom.,"[age, common sense, common]",wisdom
14,Herbert Hoover,Wisdom oft times consists of knowing what to do next.,"[knowing, next, times]",wisdom
15,Bonnie Hunt,My dad was a man of great wisdom in his short time here.,"[time, dad, great]",wisdom
16,Erica Jong,"No one ever found wisdom without also being a fool. Writers, alas, have to be fools in public, while the rest of the human race can cover its tracks.","[fool, rest, fools]",wisdom
17,Saint Teresa of Avila,"All things must come to the soul from its roots, from where it is planted.","[soul, roots, things]",wisdom
18,Tony Dungy,I don't have the strength or wisdom to get through a single day without guidance and grace from God.,"[strength, god, day]",wisdom
19,Robert Duvall,Spending two years on my uncle's ranch in Montana as a young man gave me the wisdom and the thrust to do westerns.,"[man, me, young]",wisdom
20,Antonin Scalia,"If I have brought any message today, it is this: Have the courage to have your wisdom regarded as stupidity. Be fools for Christ. And have the courage to suffer the contempt of the sophisticated world.","[courage, today, stupidity]",wisdom
21,Gwyneth Paltrow,"I love being. There's so much wisdom in it. You wake up in the morning and you think, Hey, isn't it great just being?","[love, morning, great]",wisdom
22,Noreena Hertz,"The problem lies with us: we've become addicted to experts. We've become addicted to their certainty, their assuredness, their definitiveness, and in the process, we have ceded our responsibility, substituting our intellect and our intelligence for their supposed words of wisdom.","[intelligence, words]",wisdom
23,Euripides,Cleverness is not wisdom.,[cleverness],wisdom
24,Euripides,Leave no stone unturned.,"[stone, leave, unturned]",wisdom
25,Euripides,Some wisdom you must learn from one who's wise.,"[wise, learn, you]",wisdom
