,0,1,2,3
0,Oprah Winfrey,Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,"[failure, greatness, queen]",women
1,Eleanor Roosevelt,A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.,"[water, strong, woman]",women
2,Coco Chanel,A girl should be two things: classy and fabulous.,"[girl, classy, two]",women
3,Ban Ki-moon,"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.","[change, food, health]",women
4,Oscar Wilde,"Women are made to be loved, not understood.","[loved, made, understood]",women
5,Muhammad Ali Jinnah,No struggle can ever succeed without women participating side by side with men.,"[equality, struggle, men]",women
6,Christian Dior,"After women, flowers are the most lovely thing God has given the world.","[god, flowers, world]",women
7,Margaret Thatcher,"If you want something said, ask a man; if you want something done, ask a woman.","[woman, man, want]",women
8,Mario Lopez,"There's three things men always talk about - women, sports, and cars.","[sports, car, men]",women
9,Robert A. Heinlein,"Women and cats will do as they please, and men and dogs should relax and get used to the idea.","[pet, relax, men]",women
10,John Lennon,"As usual, there is a great woman behind every idiot.","[great, woman, idiot]",women
11,Robin Williams,"If women ran the world we wouldn't have wars, just intense negotiations every 28 days.","[funny, world, days]",women
12,Chris Rock,"There are only three things women need in life: food, water, and compliments.","[life, funny, food]",women
13,Bipasha Basu,"I want to tell women that you need to love yourself and make yourself a priority. It's only when you are happy yourself, can you make everyone else around you happy. I am still a dreamer and still believe in fairy tales, but there is only that much one should give another person. You need to keep something for yourself.","[love, happy, love yourself]",women
14,Muhammad Ali Jinnah,"There are two powers in the world; one is the sword and the other is the pen. There is a great competition and rivalry between the two. There is a third power stronger than both, that of the women.","[power, great, competition]",women
15,Stephen Hawking,"It is generally recognised that women are better than men at languages, personal relations and multi-tasking, but less good at map-reading and spatial awareness. It is therefore not unreasonable to suppose that women might be less good at mathematics and physics.","[good, mathematics, men]",women
16,Oscar Wilde,"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship.","[love, friendship]",women
17,Bernie Sanders,"Finally, let us understand that when we stand together, we will always win. When men and women stand together for justice, we win. When black, white and Hispanic people stand together for justice, we win.","[justice, together, men]",women
18,Camille Paglia,Woman is the dominant sex. Men have to do all sorts of stuff to prove that they are worthy of woman's attention.,"[woman, men, sex]",women
19,Zsa Zsa Gabor,One of my theories is that men love with their eyes; women love with their ears.,"[love, eyes, men]",women
20,Mike Huckabee,"If the Democrats want to insult women by making them believe that they are helpless without Uncle Sugar coming in and providing for them a prescription each month for birth control because they cannot control their libido or their reproductive system without the help of the government, then so be it.","[believe, government, help]",women
21,Phylicia Rashad,"Any time women come together with a collective intention, it's a powerful thing. Whether it's sitting down making a quilt, in a kitchen preparing a meal, in a club reading the same book, or around the table playing cards, or planning a birthday party, when women come together with a collective intention, magic happens.","[birthday, time, together]",women
22,Napoleon Bonaparte,Women are nothing but machines for producing children.,"[children, nothing, machines]",women
23,Jean Piaget,"The principle goal of education in the schools should be creating men and women who are capable of doing new things, not simply repeating what other generations have done.","[education, goal, men]",women
24,Allen Boyd,"America's fighting men and women sacrifice much to ensure that our great nation stays free. We owe a debt of gratitude to the soldiers that have paid the ultimate price for this cause, as well as for those who are blessed enough to return from the battlefield unscathed.","[gratitude, great, patriotism]",women
25,Demetri Martin,"I love women, but I feel like you can't trust some of them. Some of them are liars, you know? Like I was in the park and I met this girl, she was cute and she had a dog. And I went up to her, we started talking. She told me her dog's name. Then I said, 'Does he bite?' She said, 'No.' And I said, 'Oh yeah? Then how does he eat?' Liar.","[love, trust, pet]",women
