,0,1,2,3
0,Reem Acra,"I advise women to live their life to their fullest, invest in who you want to be and live it well.","[life, live, want]",women
1,Esther Rolle,"'Hollywood maids' are so idiotic. They grin at everything. I told Norman Lear I didn't want to play a maid because of that 'hee-hee/grin-grin' attitude, and he said, 'Who said I wanted that?' He told me he wanted two strong women that are the black and white of the same coin. I said, 'Oh, well - in that case, I'll be right there!'","[attitude, black and white]",women
2,Dan Shechtman,"The good news is world population growth rate decreases systematically and is expected to reach zero by 2050, thanks to urbanisation and women's education.","[education, good, growth]",women
3,Anais Nin,"How wrong it is for a woman to expect the man to build the world she wants, rather than to create it herself.","[woman, man, world]",women
4,Barbra Streisand,"A man who graduated high in his class at Yale Law School and made partnership in a top law firm would be celebrated. A man who invested wisely would be admired, but a woman who accomplishes this is treated with suspicion.","[school, woman, man]",women
5,Bill Maher,Women cannot complain about men anymore until they start getting better taste in them.,"[men, getting better, start]",women
6,Clare Boothe Luce,They say that women talk too much. If you have worked in Congress you know that the filibuster was invented by men.,"[men, know, you]",women
7,Lord Byron,"Women hate everything which strips off the tinsel of sentiment, and they are right, or it would rob them of their weapons.","[hate, everything, right]",women
8,Marilyn Monroe,"I don't know who invented high heels, but all women owe him a lot.","[know, high heels, him]",women
9,Gary Oldman,"Speaking very generally, I find that women are spiritually, emotionally, and often physically stronger than men.","[men, find, stronger]",women
10,Amelia Barr,It is little men know of women; their smiles and their tears alike are seldom what they seem.,"[men, know, tears]",women
11,Little Richard,"I think God made a woman to be strong and not to be trampled under the feet of men. I've always felt this way because my mother was a very strong woman, without a husband.","[god, mother, strong]",women
12,Lara Flynn Boyle,"And I think women have come a very, very long way, but they have a long way to go.","[think, way, long]",women
13,Kat Graham,"There was a time when men thought it was sexy to have a housewife waiting for him to come home from work in her slippers, but in modern society, I think an independent woman is even more sexy.","[work, time, home]",women
14,Shirley Manson,"I am not a sexy woman, I'm not beautiful, I'm not a sex kitten, I don't flirt with people, yet I've been tagged more of sex symbol than women who truly are and I that's solely because I don't reveal too much: people are curious.","[beautiful, woman, i am]",women
15,Natalie Portman,Smart women love smart men more than smart men love smart women.,"[love, dating, smart]",women
16,Sally Ride,"I think it's important for little girls growing up, and young women, to have one in every walk of life. So from that point of view, I'm proud to be a role model!","[life, proud, growing up]",women
17,Will Rogers,Money and women are the most sought after and the least known about of any two things we have.,"[money, two, most]",women
18,Marilyn Monroe,"A man has a tendency to accept you the way you are, while most women immediately start to pick flaws and want to change you.","[change, man, start]",women
19,Andrea Dworkin,"While gossip among women is universally ridiculed as low and trivial, gossip among men, especially if it is about women, is called theory, or idea, or fact.","[men, gossip, theory]",women
20,Lyndon B. Johnson,I want to make a policy statement. I am unabashedly in favor of women.,"[i am, want, policy]",women
21,Patricia Ireland,"The Violence Against Women Act is so important. It provides money to train the cop on the beat, to train the judges that this is a new day, that we won't tolerate this violence and to know how to deal with it.","[money, day, violence]",women
22,Henry Mayhew,"Park women, properly so called, are those degraded creatures, utterly lost to all sense of shame, who wander about the paths most frequented after nightfall in the Parks, and consent to any species of humiliation for the sake of acquiring a few shillings.","[lost, shame, most]",women
23,Steve Buyer,"Because all of us believe and understand in the fabric of the common bond of why we call ourselves American is to care for the men and women who wear the uniform; and when they take off the uniform, we care for them when they are veterans.","[believe, men, veterans]",women
24,Phyllis Diller,The reason women don't play football is because 11 of them would never wear the same outfit in public.,"[football, reason, play]",women
25,Norman Mailer,"I'm hostile to men, I'm hostile to women, I'm hostile to cats, to poor cockroaches, I'm afraid of horses.","[men, cats, afraid]",women
