,0,1,2,3
0,Robert Mueller,"In the United States, it's the mandate of the FBI to gather information relating to terrorism, go out and collect it, to do the interviews, to do the investigative work.","[information, terrorism, go]",work
1,Temple Grandin,"Children between the ages of five to ten years are even more variable. They are going to vary from very high functioning, capable of doing normal school work, to nonverbal who have all kinds of neurological problems.","[children, school, problems]",work
2,Margaret J. Wheatley,"For me, this is a familiar image - people in the organization ready and willing to do good work, wanting to contribute their ideas, ready to take responsibility, and leaders holding them back, insisting that they wait for decisions or instructions.","[good, responsibility]",work
3,Margaret J. Wheatley,"In our daily life, we encounter people who are angry, deceitful, intent only on satisfying their own needs. There is so much anger, distrust, greed, and pettiness that we are losing our capacity to work well together.","[life, daily, together]",work
4,Aaron Klug,"This work made me more and more interested in biological matter, and I decided that I really wanted to work on the X-ray analysis of biological molecules.","[me, matter, analysis]",work
5,Margaret J. Wheatley,"Even though worker capacity and motivation are destroyed when leaders choose power over productivity, it appears that bosses would rather be in control than have the organization work well.","[power, motivation, control]",work
6,Sam Elliott,"The opportunity, number one, to work with Ang Lee is an amazing thing for me.","[opportunity, amazing, me]",work
7,Willie Aames,God continues to work miracles in my life.,"[life, god, faith]",work
8,Donald Pleasence,The idea of dying and coming back is what makes the Halloween films work.,"[dying, halloween, back]",work
9,Donald Pleasence,All the real work is done in the rehearsal period.,"[real, done, rehearsal]",work
10,Steve Lacy,"You can work on the saxophone alone, but ultimately you must perform with others.","[alone, you, others]",work
11,Javier Bardem,"Now, there are so many movies, so many festivals, and so many awards going on, each judged with each other, like your work is worse than others and that's not fair. How can you tell what's best and what's worst from these awards? We're talking about art.","[best, art, movies]",work
12,Jay Chiat,The team architecture means setting up an organization that helps people produce that great work in teams.,"[great, architecture, team]",work
13,James E. Casey,"One measure of your success will be the degree to which you build up others who work with you. While building up others, you will build up yourself.","[success, yourself, building]",work
14,Leonard Boswell,"The pride people take in their work transcends to their homes, their education, families and communities.","[education, pride, people]",work
15,Lester B. Pearson,"I am grateful for the opportunities I have been given to participate in that work as a representative of my country, Canada, whose people have, I think, shown their devotion to peace.","[peace, grateful, i am]",work
16,Itzhak Perlman,"That makes classical music work, the ability to improvise.","[music, ability]",work
17,David Bowie,But I'm pretty good with collaborative thinking. I work well with other people.,"[good, thinking, people]",work
18,David Bowie,Nearly all the synth work on Heathen is mine and some of the piano.,"[piano, mine, heathen]",work
19,Arnold J. Toynbee,The supreme accomplishment is to blur the line between work and play.,"[accomplishment, blur, play]",work
20,Gustave Flaubert,"Be regular and orderly in your life, so that you may be violent and original in your work.","[life, you, may]",work
21,Laurence J. Peter,Work is accomplished by those employees who have not yet reached their level of incompetence.,"[employees, accomplished]",work
22,Noel Coward,Work is much more fun than fun.,"[fun, much, more]",work
23,Pablo Picasso,It is your work in life that is the ultimate seduction.,"[life, seduction, ultimate]",work
24,Peter Drucker,Plans are only good intentions unless they immediately degenerate into hard work.,"[hard work, good, plans]",work
25,Richard Bach,"The more I want to get something done, the less I call it work.","[want, something, done]",work
